Record number,Call number,Title,Published,Description,Note,Summary,Reproduction note,biographical or historical note,Ownership and custodial history,Subject - name,Subject - topical ,Link
.b18107746,BA1011/238,Portrait of B.C. O'Brien,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"B.C. O'Brien is standing, wearing slouch hat, AIF badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"O'Brien, B. C.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,238PD.jpg"
.b18107783,BA1011/239,Portrait of Frank Hughes,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Hughes is standing, wearing slouch hat and AIF badges.;Adopted by Mr P.E. & Mrs B.J. Hurst.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Hughes, Frank",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,239PD.jpg"
.b18107825,BA1011/240,Portrait of Frank Hughes,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Hughes is seated, wearing slouch hat and AIF badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Hughes, Frank",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,240PD.jpg"
.b18107850,BA1011/241,Portrait of R. Melvin,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.;2 images on 1 plate.,"Head and shoulders portrait of Private Melvin, wearing Field Service cap and AIF badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Melvin, R.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,241PD.jpg"
.b18107886,BA1011/242,Portrait of T. Brothers,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"T. Brothers is standing, wearing Field Service cap, AIF badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Brothers, T.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,242PD.jpg"
.b18107928,BA1011/243,"Portrait of two soldiers, one of whom is H.A. Robinson",1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Portrait of two soldiers, one of whom is H.A. Robinson. One is standing and one sitting, wearing AIF badges, leggings and spurs.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Robinson, H. A.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,243PD.jpg"
.b18107977,BA1011/244,Portrait of A.P. Ferguson,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"A.P. Ferguson is standing, wearing Field Service cap, AIF badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Ferguson, A. P.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,244PD.jpg"
.b18108003,BA1011/246,Portrait of A.P. Ferguson,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Ferguson is seated, wearing Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Ferguson, A. P.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,246PD.jpg"
.b18108039,BA1011/245,Portrait of Private Chinnery,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private Chinnery is standing, wearing Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Chinnery,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,245PD.jpg"
.b1810809x,BA1011/247,Portrait of R.G. Wood,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.;2 images on 1 plate.,"Head and shoulders portrait of R.G. Wood, wearing Field Service cap and badges and lanyard.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Wood, R. G.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,247PD.jpg"
.b18111981,BA1011/523,Portrait of Neil Robertson,1915,1 photonegative :,Dated: 27 October 1915.,"Robertson is standing, wearing puttees and badges on collar. He is carrying a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Robertson, Neil",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,523PD.jpg"
.b18113084,BA1011/524,Portrait of Thomas Edward Smith,1914-1918.,1 photonegative :,,"Smith is sitting, wearing badges on collar.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Smith, Thomas Edward",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,524PD.jpg"
.b18113114,BA1011/525,Portrait of Thomas Edward Smith,1914-1918.,1 photonegative :,,"Smith is standing, wearing slouch hat, puttees and collar badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Smith, Thomas Edward",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,525PD.jpg"
.b18113175,BA1011/526,Portraits of Dungey,1914-1918.,1 photonegative :,2 images on 1 plate.,"Two waist length portraits of Dungey, one wearing hat, collar badges and T3 colour patch, the other wearing collar badges and T3 colour patch.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,Dungey,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,526PD.jpg"
.b18113321,BA1011/527,Portrait of Sergeant H. Lewis,1914-1918.,1 photonegative :,,"Lewis is sitting, wearing slouch hat, puttees, badges and collar and tie.;Adopted by Peter Munro.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Lewis, H.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,527PD.jpg"
.b18113369,BA1011/528,Portrait of M. Quill,1914-1918.,1 photonegative :,,"Quill is standing, wearing slouch hat, puttees, collar badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Quill, M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,528PD.jpg"
.b18113473,BA1011/529,"Portrait of two men, standing is J. Snudden",1914-1918.,1 negative :,,"Portrait of two men, standing is Snudden (see 108355PD and 108362PD), one is standing and one sitting, wearing collar badges. One is wearing leggings and spurs, the other is wearing puttees.;Adopted by Mrs Coral Haymet.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Snudden, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,529PD.jpg"
.b18115573,BA1011/530,"Portrait of two men, seated is J. Snudden",1914-1918.,1 negative :,,"Portrait of two men, seated is Snudden (see 108355PD and 108362PD), one is standing and one sitting, wearing collar badges. One is wearing leggings and spurs, the other is wearing puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Snudden, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,530PD.jpg"
.b18115585,BA1011/531,Portrait of Private Geo Maley,1914-1918.,1 photonegative :,,"Waist length portrait of Maley, wearing slouch hat, collar badges and great coat.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Maley, Geo",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,531PD.jpg"
.b18115597,BA1011/532,Portrait of Private Geo Maley,1914-1918.,1 photonegative :,,"Head and shoulders portrait of Maley, wearing slouch hat and collar badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Maley, Geo",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,532PD.jpg"
.b18115615,BA1011/533,Portrait of G.H. Johnson,1914-1918.,1 photonegative :,,"Johnson is sitting, wearing Field Service cap and badge, collar badges and two service stripes.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Johnson, G. H.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,533PD.jpg"
.b18115767,BA1011/534,Portrait of Gunner G.H. Johnson,1914-1918.,1 photonegative :,,"Head and shoulders portrait of Johnson, wearing Field Service cap and badge and great coat.;Adopted by Mr E.H.Johnson.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Johnson, G. H.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,534PD.jpg"
.b18116462,BA1011/535,Portrait of Lieutenant Clifford Sadlier VC,1914-1918.,1 photonegative :,,"Sadlier, of 51 Battalion (A), is standing wearing Sam Browne, four service stripes and carrying a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Sadlier, Clifford William King,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,535PD.jpg"
.b18116486,BA1011/536,Portrait of Lieutenant Clifford Sadlier VC,1914-1918.,1 photonegative :,,"Sadlier, of 51 Battalion (A), is standing wearing Sam Browne, four service stripes and carrying a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Sadlier, Clifford William King,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,536PD.jpg"
.b18116498,BA1011/537,Portrait of Lieutenant Clifford Sadlier VC,1914-1918.,1 photonegative :,,"Sadlier, of 51 Battalion (A), is standing wearing Sam Browne, four service stripes and carrying a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Sadlier, Clifford William King,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,537PD.jpg"
.b18116516,BA1011/538,Portrait of H.A. Wheeler,1914-1918.,1 photonegative :,,"Wheeler is sitting, wearing Field Service cap and badges and ribbons on left shoulder.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Wheeler, H. A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,538PD.jpg"
.b18116565,BA1011/539,Portrait of E. A. Wintle,1915,1 negative :,,"Wintle is sitting, wearing collar badges and puttees.;Later commissioned a lieutenant.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Wintle, E. A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,539PD.jpg"
.b18116644,BA1011/540,Portrait of E.B. Wilkins,1914-1918.,1 photonegative :,,"Wilkins is standing, wearing Field Service cap and badges, riding crop and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Wilkins, E. B.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,540PD.jpg"
.b1811667x,BA1011/541,Portrait of Private T.E.or C.E. Warburton,1915,1 photonegative :,Dated: 05.10.1915.,"Private Warburton, of the 10th Australian Light Horse, is sitting wearing slouch hat with plumes, leggings, spurs and carrying a riding crop.;Adopted by Rose Rose.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Warburton,C.E.;Warburton,T.E.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,541PD.jpg"
.b18116723,BA1011/542,Portrait of V.E. Witney,1914-1918.,1 photonegative :,,"Witney, of 11 Battalion, is sitting wearing slouch hat, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 245 (S).,"Witney, V. E.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,542PD.jpg"
.b18118628,BA1011/425,Portrait of J. Lay,1914-1918.,1 photonegative :,2 images on 1 plate.,"Waist length portrait of Lay, wearing Field Service cap and badges.;Adopted by Bevan Lay.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,"Lay, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,425PD.jpg"
.b18118641,BA1011/426,Portrait of W.G. Williams,1914-1918.,1 photonegative :,,"Williams is sitting, wearing Field Service cap and badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,"Williams, W. G.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,426PD.jpg"
.b18118665,BA1011/427,Portrait of D. Whitfield,1914-1918.,1 photonegative :,,"Whitfield is standing, wearing Field Service cap and badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,"Whitfield, D.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,427PD.jpg"
.b18118689,BA1011/428,Portrait of W.M. Vincent,1914-1918.,1 photonegative :,,"Waist length portrait of Vincent, wearing Field Service cap and badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,"Vincent, W. M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,428PD.jpg"
.b18118690,BA1011/429,Portrait of W.M. Vincent,1914-1918.,1 photonegative :,,"Vincent is standing, wearing Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,"Vincent, W. M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,429PD.jpg"
.b18118707,BA1011/430,Portrait of W.G. Williams,1914-1918.,1 photonegative :,,"Williams is standing, wearing Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,"Williams, W. G.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,430PD.jpg"
.b18118719,BA1011/431,Portrait of R. Cheney,1914-1918.,1 photonegative :,2 images in 1 plate.,"Head and shoulders portrait of Cheney of the 11 Battalion, wearing Field Service cap and badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,"Cheney, R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,431PD.jpg"
.b18118720,BA1011/432,Portrait of Private H. H. Knight,1916,1 negative :,A photograph of Mrs Rebecca Knight is in this catalogue at 153931PD.,"Waist length portrait of Knight, wearing Field Service cap and badges.;Adopted by Peter Knight.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,"Knight, Hubert Harry",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,432PD.jpg"
.b18118756,BA1011/433,Portrait of D. Whitfield,1914-1918.,1 photonegative :,,"Whitfield is sitting, wearing Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,"Whitfield, D.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,433PD.jpg"
.b1811877x,BA1011/434,Portrait of W.A. Warner,1914-1918.,1 photonegative :,,"Warner is sitting, wearing Field Service cap and badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,"Warner, W. A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,434PD.jpg"
.b18118847,BA1011/435,"Portrait of O.H.C. James, Signaller",1915-1916.,1 negative :,,"James is half seated, wearing Field Service cap and badge, lanyard, puttees, riding crop and badge on arm.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait. Taken between enlistment 2 Nov. 1915 and embarkation 12 Feb. 1916.,Negative plate box: Cows 128 (S).,"James, Owen Herbert Cameron",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,435PD.jpg"
.b18118860,BA1011/436,Portrait of Wroth,1914-1918.,1 photonegative :,,"Wroth is standing, wearing Field Service cap and badges, and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,Wroth,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,436PD.jpg"
.b18118884,BA1011/437,Portraits of L.N. Kuhl,1914-1918.,1 photonegative :,2 images on 1 plate.,"Head and shoulders portraits of Kuhl, one wearing Field Service cap and badge and one wearing Field Service cap and badge and great coat.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,"Kuhl, L. N.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,437PD.jpg"
.b18118914,BA1011/438,Portraits of Lieutenant W. Witte,1914-1918.,1 photonegative :,2 images on 1 plate.,"Waist length portraits of Witte, wearing badges and belt with shoulder straps.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Cows 128 (S).,"Witte, W.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,538PD.jpg"
.b18149674,BA1011/289,Portrait of W. Collins,1914-1918.,1 photonegative :,,"Collins is seated, wearing a slouch hat, badges, puttees, and carrying a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 51 (S).,"Collins, W.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,289PD.jpg"
.b18149716,BA1011/290,Portrait of Vernon Clare Chidgzey,1916-1917.,1 negative :,,"Chidgzey is seated, wearing a Field Service cap, badges, puttees, and carrying a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait. Taken between enlistment 12 June 1916 and embarkation 13 Feb. 1917.,Negative plate box 51 (S).,"Chidgzey, Vernon Clare",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,290PD.jpg"
.b1814973x,BA1011/291,Portrait of W.M. Clift,1914-1918.,1 photonegative :,,"Clift is standing, wearing a Field Service cap, badges, puttees, a leather covered wrist watch and carrying a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 51 (S).,"Clift, W. M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,291PD.jpg"
.b18149753,BA1011/292,Portrait of J.G. Caney,1914-1918.,1 photonegative :,,"Caney is seated, wearing a Field Service cap, badges, riding breeches and leggings.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 51 (S).,"Caney, J. G.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,292PD.jpg"
.b18149820,BA1011/293,Portrait of Private W.G. Crofts,1914-1918.,1 photonegative :,,"Crofts is seated, wearing a Field Service cap and badges, signal badge , puttees, and carrying signal flags.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 51 (S).,"Crofts, Wilfrid George,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,293PD.jpg"
.b18149832,BA1011/294,Portrait of V. Clayton,1914-1918.,1 photonegative :,,"Clayton is seated, wearing a Field Service cap and badges, and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 51 (S).,"Clayton, V.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,294PD.jpg"
.b1814987x,BA1011/295,Portraits of R.C. Cockburn,1914-1918.,1 photonegative :,Two images on one plate.,"Two three quarter length portraits of Cockburn seated, one wearing 11th Battalion hat and AIF badges and one with AIF badges.;Adopted by Presbyterian Ladies College.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 51 (S).,"Cockburn, R. C.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,295PD.jpg"
.b1814990x,BA1011/296,Portrait of Private Andrew Christie,1914-1918.,1 photonegative :,,"Three quarter length portrait of Private Andrew Christie, wearing slouch hat. He is an older man with a handlebar moustache and was a member of the 16th Battalion.  Killed in action at Gallipoli, 1916. Former captain of Subiaco Football Club.;Adopted by Len Christie.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 51 (S).,Christie,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,296PD.jpg"
.b18149911,BA1011/297,Portrait of Private E. Collins,1914-1918.,1 photonegative :,,"Collins is seated, wearing Field Service cap, puttees and carrying a concertina.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 51 (S).,"Collins, E.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,297PD.jpg"
.b18149923,BA1011/298,Portrait of D.L. Cameron,1914-1918.,1 photonegative :,,"Cameron is standing, wearing Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 51 (S).,"Cameron, D. L.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,298PD.jpg"
.b18149947,BA1011/299,Portrait of R. Colledge,1914-1918.,1 photonegative :,,"Three quarter length portrait of Colledge, wearing Field Service cap, badges and great coat.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 51 (S).,"Colledge, R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,299PD.jpg"
.b18149960,BA1011/300,Portrait of H.H. Clarke,1914-1918.,1 photonegative :,,"Clarke is standing, wearing puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 51 (S).,"Clarke, H. H.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,300PD.jpg"
.b1815167x,BA1011/301,"Private Ivo William Kinshela, 6 June 1915",1915,1 negative :,Dated: 6.6.1915.,"Portrait of Kinshela, 28th Battalion, wearing badges and puttees and holding slouch hat. Ivo William Kinshela enlisted in Perth and served at Gallipoli and France. His service records are held by the National Archives of Australia and are available online.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,"Kinshela, Ivo William",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,301PD.jpg"
.b18151723,BA1011/302,Portrait of V.R. Kepert,1914-1918.,1 photonegative :,,"Kepert is sitting, wearing slouch hat, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,"Kepert, V. R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,302PD.jpg"
.b18151814,BA1011/303,"Portrait of Corporal H.R. Keefe, Medical Corps",1915,1 photonegative :,Dated: 29.5.1915.,"Corporal Keefe of the Medical Corps. is seated, wearing medal ribbons and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,"Keefe, H. R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,303PD.jpg"
.b18151851,BA1011/304,Portrait of V.R. Kepert,1915,1 photonegative :,Dated: 26.05.1915.,"Three quarter length portrait of Kepert, wearing badges and 12th Infantry on shoulder.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,"Kepert, V. R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,304PD.jpg"
.b18151905,BA1011/305,"Portrait of J. Keegan, Medical Corps",1915,1 photonegative :,Dated: 9.5.1915.,"Keegan is sitting, wearing Field Service cap, badges, leggings, riding breeches and carrying a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,"Keegan, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,305PD.jpg"
.b18151954,BA1011/306,"Portrait of J. Keegan, Medical Corps",1915,1 photonegative :,Dated: 9.5.1915.,"Keegan is sitting with Field Service cap on seat, wearing badges, leggings, riding breeches and carrying a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,"Keegan, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,306PD.jpg"
.b18152752,BA1011/307,Portraits of Private Sydney King,1914-1918.,1 photonegative :,Two images on one plate.,Two waist length portraits of King.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,"King, S.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,307PD.jpg"
.b18152764,BA1011/308,Portrait of Kenny,1914-1918.,1 photonegative :,,"Kenny is standing, wearing slouch hat, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,Kenny,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,308PD.jpg"
.b18152776,BA1011/310,Portrait of Kenny,1914-1918.,1 photonegative :,,"Kenny is standing, wearing slouch hat, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,Kenny,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,310PD.jpg"
.b18152818,"BA1011/309, 2003",Studio portraits of Private Yul Knudson,1915,2 negatives :,Written on back of negative: Pte Knudson 15.10.15 - name of sitter or customer - and details of the order to the photographer.,"Knudson is sitting, wearing slouch hat, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S) and 111(S).,"Knudson, Yul",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,309PD.jpg;http://www.slwa.wa.gov.au/images/pd151/151447PD.jpg"
.b18152843,BA1011/311,Portrait of Kevin,1914-1918.,1 photonegative :,,"Kevin is sitting, wearing puttees, watch, chain and holding a cigarette in left hand.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,Kevin,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,311PD.jpg"
.b18152879,BA1011/312,Portrait of M. Kelly,1914-1918.,1 photonegative :,,"Kelly is standing, wearing Field Service hat and badge, and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,"Kelly, M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,312PD.jpg"
