Bibliographic record number,Collection number,Creator,Title,Date of creation,Description,Notes,Summary,Subject: Personal,Subject: Topical,Subject: Geographical,Captions for URLs,URLs
b22174357,BA1799/95-97;5018B,"Cull, Lewin Harcourt,","Working bee No.8 R.C.Hospital, Albany Branch  /",1915,3 negatives :;1 photograph :,"Title is caption from negatives. Additional title supplied by cataloguer.;The image at 088658PD has been received as the original negative (accessioned at 088658P) and as a print from a different donor accessioned at 5018B.;Written on back of mount for print at 5018B: Busy bee, 1914-18 war took over Governor's Residence for Red Cross Hospital.","On Sunday 26 September 1915 members of the Albany community got together to prepare the Governor's Residence and its garden for use as a convelescent hospital for returned servicemen. This event is described in the Albany Advertiser 29 September 1915, p.3.",,"World War, 1914-1918;Hospitals, Convalescent;Veterans;War casualties","No. 8 Red Cross Hospital (Albany, W.A.);Governor's Residence (Albany, W.A.);Western Australia","088657PD: Working bee at the No.8 Red Cross Hospital, Albany, 26 September 1915;088658PD: Working bee at the No.8 Red Cross Hospital, Albany, 26 September 1915;088659PD: Working bee at the No.8 Red Cross Hospital, Albany, 26 September 1915",http://purl.slwa.wa.gov.au/slwa_b2217435_1;http://purl.slwa.wa.gov.au/slwa_b2217435_2;http://purl.slwa.wa.gov.au/slwa_b2217435_3;http://purl.slwa.wa.gov.au/slwa_b2217435_1.png;http://purl.slwa.wa.gov.au/slwa_b2217435_2.png;http://purl.slwa.wa.gov.au/slwa_b2217435_3.png
b22257949,PR14590/54,,"Anzac Day sports held at Australian base depots, Rouelles, on April 25th 1919 /",1919,1 booklet (8 pages) :,"Title supplied by cataloguer.;Front cover illustration by J. C. Goodchild, '1 19 and back cover illustration by Harold Stephens, France, 20.1.1919.;Bookcover torn at top on both sides of the cover.;Digitised as part of the World War I Centenary Project.","Formerly PR2946.;A programme booklet featuring the Anzac Day Sports held at Australian Base Depots in Rouelles, France on April 25th 1919 under the distinguished patronage of Brigadier General Burrowes, Commandant British Base, Le Havre, Le Contre-Amiral Didelot, Governor of Havre and other officials. Programme of events include hurdle, Siamese and Potato races, gymnastic entertainment, cross country race, Women's Australian Army Corps (W.A.A.C.) race, international boxing contest. The final page of the programme features a programme of music by the Australian Orchestra conducted by Sergeant Authur Edwards.",,"Anzac Day.;World War, 1914-1918",,"PR14590/54: Anzac Day sports, Rouelles, 1919",http://purl.slwa.wa.gov.au/slwa_b2225794_8;http://purl.slwa.wa.gov.au/slwa_b2225794_8.png
b22258097,5189B,,"N.C.O. School, Claremont, No.2 Platoon, June 1917.",1917,"1 photograph, mounted :",Title and date are caption on mount.,"The N.C.O. School was held at the Claremont Drill Hall, Avion Way, Claremont. Printed on the mount the officers seated front and centre are identified left to right as: D.G. Scott, Staff Sergt Major; Capt. W.F.S.E. Buchan, Ass. Instructor; Capt. E.A. Coleman, Chief Instructor; F.C. King, Staff Sergt Major. Identified in the back row fifth from left is Herbert Morley (1871-1950) An obituary is published in the Daily News 5 January 1950. (Information supplied)","Scott, Douglas Gordon;Buchan, William Forbes Stuart Erskine;Coleman, E.A.;King, Frederick Charles;Morley, Herbert,","Military education;World War, 1914-1918;Soldiers",,"5189B:  Officers front and centre L-R: D.G. Scott, Staff SM; Capt. W.F.S.E. Buchan, Ass. Instructor; Capt. E.A. Coleman, Chief Instructor; F.C. King, Staff SM. Back row 5th from left Herbert Morley",http://purl.slwa.wa.gov.au/slwa_b2225809_2;http://purl.slwa.wa.gov.au/slwa_b2225809_2.png
b22258139,5190B,,Australian Imperial Forces on parade in England.,"1917, 1919.",2 photographs ,Title devised by cataloguer. Captions are as appear on prints.,,,"Military parades and ceremonies;Soldiers;World War, 1914-1918;ANZAC Day;Online image.",,"5190B/1: March of the Australian Imperial Forces through the city of London, Anzac Day, April 25th, 1919;5190B/2: Presentation of offices after a Royal Review on Bulfield Field, Wilts, 1917 (33,000 A.I.F. were present on the parade)",http://purl.slwa.wa.gov.au/slwa_b2225813_3;http://purl.slwa.wa.gov.au/slwa_b2225813_4;http://purl.slwa.wa.gov.au/slwa_b2225813_3.png;http://purl.slwa.wa.gov.au/slwa_b2225813_4.png
b22258188,5191B,,"Lieut. A. White, Area Officer.",1914-1918.,1 photograph :,Title from photograph mount.,,"White, A.,",Soldiers,,"5191B: Lieutenant A. White, Area Officer, 1914-1918",http://purl.slwa.wa.gov.au/slwa_b2225818_1;http://purl.slwa.wa.gov.au/slwa_b2225818_1.png
b22258929,5195B,"Park, C.H.","Training at the army camp, Tammin, March 1913.",1913,1 album (100 photographs) :,"Title devised by cataloguer.;Written inside cover: Continuous training Tammin 1913.;The photographs have been printed onto postcard paper. It is thought this was a volume used as a sales tool by Park's Press Photos.;The photograph on page 94 is not of the Tammin camp. This photograph is of the Leederville Cadets parading in Redan St, Leederville. This photograph has been catalogued separately at 5195B/94.","The majority of troops of the 5th Military District (Western Australia) took part in this compulsory training. The training, the officers involved and the regiments, battalions and corps involved including infantry, cavalry, services and ambulance are described in detail in a series of newspaper reports. All are described as citizen soldiers or military reserve.",,Soldiers;Military training camps;Soldiers;Military education,,"Training at the army camp, Tammin, 1913",http://purl.slwa.wa.gov.au/slwa_b2225892_106;http://purl.slwa.wa.gov.au/slwa_b2225892_106.png
b22258930,5196B,"Park, C.H.","Military training at Greenmount and Rockingham and parading on the Esplanade in Perth, April 1914.",1914,1 album (100 photographs) :,Title devised by cataloguer.;Written inside front cover: Continuous training Greenmount to Perth 1914.;The photographs have been printed onto postcard paper. It is thought this was a volume used as a sales tool by Park's Press Photos. See also 5195B for a 1913 album.,"The album is not captioned however, some photographs are published in newspapers with captions: The Rockingham Camp: 5196B/2: Range finding; 5196B/3: H.E. the Governor and the State Commendant Lieut-Col Irving; 5196B/4: The encampment staff; 5196B/5: The men behind the guns (all in Western Mail 10/4/1914, p.27). 5196B/7: Getting ready for action; 5196B/10: Sir Harry Barron watching the distribution of bread; 5196B/11: Ready for the enemy's charge (both in Sunday Times12/4/j1914, p.27. 5196B/80: A general view of the camp; 5196B/A formidable array (both in Western Mail 10/4/1914, p.27);The Greenmount camp: 5196B/22: The morning wash; 5196B/28: Stretcher bearers; 5196B/29: Soothing the savage beast (all in Western Mail 17/4/1914, p.27. 5196B/39: A deadly weapon, members of the machine-gun section being instructed in the use of one of the Maxim guns; 5196B/50: Astride their chargers, Lieut-Col Collett with some of this colleagues (both in Sunday Times 12/4/1914, p.6. 5196B/59 a similar photo: Bringing in the wounded (Western Mail 17/4/1914, p.27. 5196B/62: On the march, marching from Greenmount to Perth (Sunday Times 19/4/1914, p.6. 5196B/63: An ambush; 5196B/65: The Army Medical Corps on the march; 5196B/67: Returning from the days manoeuvres; 5196B/84: A portable machine which purifies water used by the troops (all in Western Mail 17/4/1914, p.27). 5196B/86: In action, some of the 'white' force in the sham fight near Bayswater (Sunday Times 19/4/1914, p.6. The album includes photographs of an army training camp held in Greenmount with several photographs of troops marching along Miller Street Bellevue.;The parade on the Esplanade:5196B/79: The concluding phase of the Easter encampment parade of nearly one thousand troops on the Esplanade (Western Mail 24/4/1914, p.24.","Barron, Harry,;Collett, Herbert Brayley,;Irving, Godfrey George Howy",Military education;Soldiers;Military training camps;Military training camps;Military parades and ceremonies,,"5196B: Album of photographs of military training at Greenmount and Rockingham and a parade on the Esplanade, Perth, April 1914",http://purl.slwa.wa.gov.au/slwa_b2225893_1;http://purl.slwa.wa.gov.au/slwa_b2225893_1.png
b22258942,5199B,"Rose, George,",Australian Expeditionary Force,1914,18 stereographs :,"Title devised by cataloguer. Captions printed on each card.;Inscriptions on cards: The Rose Stereograph, Copyright. Melbourne, Sydney, Wellington & London ; Published by George Rose, Melbourne, Sydney, Wellington & London.",Collection of stereographs documenting the Australian Expeditionary Force in training and on parade in Victoria - Broadmeadows and Melbourne.,"Munro-Ferguson, Ronald,","Soldiers;World War, 1914-1918;Military parades and ceremonies",,"5199B/01: Throats which speak for the Empire, 18-pounder guns of the Australian Expeditionary Force at Broadmeadows;5199B/02: Ready for the front. The review of the troops by the Governor-General, Sir Ronald Munro-Ferguson;5199B/03: Australian Expeditionary Force, Broadmeadows. Breaking camp prior to their departure for the front;5199B/04: At Empire's call. The sturdy members of the Australian Expeditionary Force marching through Melbourne;5199B/05: Sturdy sons of the Empire. The Light Horse of the Australian Expeditionary Force, Collins St., Melbourne;5199B/06: Parade of the Australian Expeditionary Force. Lunch time at Royal Park, Victoria;5199B/07: An appropriate mascot the British bulldog with the Australian Expeditionary Force at Broadmeadows;5199B/08: Ready to fight for the Empire. Australia's splendid troops in camp at Broadmeadows;5199B/09: Australian Expeditionary Force, Broadmeadows. Dinner time-assembling at the camp kitchen;5199B/10: Governor-General, Sir Ronald Munro-Ferguson, arrives at Broadmeadows to review the Expeditionary Force;5199B/11: View in the artillery lines of the Australian Expeditionary Force in camp at Broadmeadows;5199B/12: Artillery of the Expeditionary Force at the review by the Governor-General, Sir Ronald Munro-Ferguson;5199B/13: Governor-General, Sir Ronald Munro-Ferguson, reviewing the Australian Expeditionary Force;5199B/14: Australian Expeditionary Force passing the Governor-General, in front of Parliament House, Melbourne, Vic.;5199B/15: Farewell parade of the Australian Expeditionary Force. Infantry marching along Collins St., Melbourne, Vic.;5199B/16: Farewell parade of the Australian Expeditionary Force. The troops marching along Elizabeth Street, Melbourne;5199B/17: Farewell parade of the Australian Expeditionary Force. The Light Horse in Collins Street, Melbourne, Vic.;5199B/18: Farewell to Australian's Expeditionary Force. Passing Parliament House, Melbourne, Victoria",http://purl.slwa.wa.gov.au/slwa_b2225894_19;http://purl.slwa.wa.gov.au/slwa_b2225894_20;http://purl.slwa.wa.gov.au/slwa_b2225894_21;http://purl.slwa.wa.gov.au/slwa_b2225894_22;http://purl.slwa.wa.gov.au/slwa_b2225894_23;http://purl.slwa.wa.gov.au/slwa_b2225894_24;http://purl.slwa.wa.gov.au/slwa_b2225894_25;http://purl.slwa.wa.gov.au/slwa_b2225894_26;http://purl.slwa.wa.gov.au/slwa_b2225894_27;http://purl.slwa.wa.gov.au/slwa_b2225894_28;http://purl.slwa.wa.gov.au/slwa_b2225894_29;http://purl.slwa.wa.gov.au/slwa_b2225894_30;http://purl.slwa.wa.gov.au/slwa_b2225894_31;http://purl.slwa.wa.gov.au/slwa_b2225894_32;http://purl.slwa.wa.gov.au/slwa_b2225894_33;http://purl.slwa.wa.gov.au/slwa_b2225894_34;http://purl.slwa.wa.gov.au/slwa_b2225894_35;http://purl.slwa.wa.gov.au/slwa_b2225894_36;http://purl.slwa.wa.gov.au/slwa_b2225894_19.png;http://purl.slwa.wa.gov.au/slwa_b2225894_20.png;http://purl.slwa.wa.gov.au/slwa_b2225894_21.png;http://purl.slwa.wa.gov.au/slwa_b2225894_22.png;http://purl.slwa.wa.gov.au/slwa_b2225894_23.png;http://purl.slwa.wa.gov.au/slwa_b2225894_24.png;http://purl.slwa.wa.gov.au/slwa_b2225894_25.png;http://purl.slwa.wa.gov.au/slwa_b2225894_26.png;http://purl.slwa.wa.gov.au/slwa_b2225894_27.png;http://purl.slwa.wa.gov.au/slwa_b2225894_28.png;http://purl.slwa.wa.gov.au/slwa_b2225894_29.png;http://purl.slwa.wa.gov.au/slwa_b2225894_30.png;http://purl.slwa.wa.gov.au/slwa_b2225894_31.png;http://purl.slwa.wa.gov.au/slwa_b2225894_32.png;http://purl.slwa.wa.gov.au/slwa_b2225894_33.png;http://purl.slwa.wa.gov.au/slwa_b2225894_34.png;http://purl.slwa.wa.gov.au/slwa_b2225894_35.png;http://purl.slwa.wa.gov.au/slwa_b2225894_36.png
b22259600,5223B,,The Battle of Jerusalem (1917),1917,10 photographs :,,"Includes photographs of Ottoman (Turkish) troops in action and in camp; Brigadier-General C.F. Watson, first British soldier to enter Jerusalem on 9 December 1917; General Allenby entering Jerusalem 11 December 1917; General Allenby reading the proclamation of martial law from the Tower of David, Jerusalem, 11 December 1917.","Allenby, Edmund Henry Hynman Allenby, Viscount, 1861-1936;Watson, C.F.","World War, 1914-1918;Battle of Jerusalem (1917)",,"5223B/1: Turkish cavalry in action near Jerusalem, 1917;5223B/2: Turkish aeroplane workshop near Jerusalem, 1917;5223B/3: General Allenby reading the proclamation of martial law from the Tower of David, Jerusalem, 11 December 1917;5223B/4: General Allenby entering Jerusalem, 11 December 1917;5223B/5: Crowds greet the first Allied troops entering Jerusalem, 9 December 1917;5223B/6: Brigadier-General C.F. Watson, first British soldier to enter Jerusalem, 9 December 1917;5223B/7: Turkish headquarters near Jerusalem, 1917;5223B/8: Turkish machine guns in action near Jerusalem, 1917;5223B/9: Turkish cavalry watering near Jerusalem, 1917;5223B/10: Turkish camp near Jerusalem, 1917",http://purl.slwa.wa.gov.au/slwa_b2225960_11;http://purl.slwa.wa.gov.au/slwa_b2225960_12;http://purl.slwa.wa.gov.au/slwa_b2225960_13;http://purl.slwa.wa.gov.au/slwa_b2225960_14;http://purl.slwa.wa.gov.au/slwa_b2225960_15;http://purl.slwa.wa.gov.au/slwa_b2225960_16;http://purl.slwa.wa.gov.au/slwa_b2225960_17;http://purl.slwa.wa.gov.au/slwa_b2225960_18;http://purl.slwa.wa.gov.au/slwa_b2225960_19;http://purl.slwa.wa.gov.au/slwa_b2225960_20;http://purl.slwa.wa.gov.au/slwa_b2225960_11.png;http://purl.slwa.wa.gov.au/slwa_b2225960_12.png;http://purl.slwa.wa.gov.au/slwa_b2225960_13.png;http://purl.slwa.wa.gov.au/slwa_b2225960_14.png;http://purl.slwa.wa.gov.au/slwa_b2225960_15.png;http://purl.slwa.wa.gov.au/slwa_b2225960_16.png;http://purl.slwa.wa.gov.au/slwa_b2225960_17.png;http://purl.slwa.wa.gov.au/slwa_b2225960_18.png;http://purl.slwa.wa.gov.au/slwa_b2225960_19.png;http://purl.slwa.wa.gov.au/slwa_b2225960_20.png
b2279587x,5491B,,Officers and men of the 32nd Battalion Western Australia.,,1 photograph :;1 photograph :,Title from caption on 5491B/1.,Photograph taken in front of the grandstand at the Helena Vale Racecourse.,,Soldiers,,"5491B/1: Officers and men of the 32nd Battalion Western Australia, 1914?;5491B/2: Officers and men of the 32nd Battalion Western Australia, ca. 1914",http://purl.slwa.wa.gov.au/slwa_b2279587_2;http://purl.slwa.wa.gov.au/slwa_b2279587_4;http://purl.slwa.wa.gov.au/slwa_b2279587_2.png;http://purl.slwa.wa.gov.au/slwa_b2279587_4.png
b22864118,5633B,"Campbell, Mabel M.","Western Australians invalided home, June 1917",1917,"1 photograph, 1 leaflet (4 p.) :",,"The photograph is published on the front page of the leaflet headed: Men who have done ""there bit"" (sic) : Western Australians invalided home, June 1917. The pamphlet contains a poem titled Australians! A South African's glorious defence of ANZAC and Australians written after hearing a wealthy Durban Merchant speak dispairagingly (sic) of Australians. The poet is not named on the pamphlet. The Petersburg Times newspaper published in South Australia 31 August 1917, p.2 published the poem with an introduction naming the poet as a South African lady named Mabel M. Campbell.","Campbell, Mabel M.","Soldiers;World War, 1914-1918",,"5633B/1: Western Australians invalided home, June 1917;5633B/2: Cover of leaflet publishing the photograph Western Australians invalided home, June 1917;5633B/2 inside: poem Australians! by Mabel M. Campbell",http://purl.slwa.wa.gov.au/slwa_b2286411_4;http://purl.slwa.wa.gov.au/slwa_b2286411_5;http://purl.slwa.wa.gov.au/slwa_b2286411_6;http://purl.slwa.wa.gov.au/slwa_b2286411_4.png;http://purl.slwa.wa.gov.au/slwa_b2286411_5.png;http://purl.slwa.wa.gov.au/slwa_b2286411_6.png
b2287043x,5664B,,"Troops return to Fremantle aboard the Konigin Luise, 3 August 1919.",1919,3 photographs :,Title devised by cataloguer from caption written on prints by photographer.,Among the troops on board were members of the 5th Australian Broad Gauge Operating Company. (Information supplied April 2015),,Troopships;Soldiers;Arrivals & departures,,"5664B/1: Troops return to Fremantle aboard the Konigin Luise, 3 August 1919;5664B/2: Troops return to Fremantle aboard the Konigin Luise, 3 August 1919;5664B/3: Troops return to Fremantle aboard the Konigin Luise, 3 August 1919",http://purl.slwa.wa.gov.au/slwa_b2287043_5;http://purl.slwa.wa.gov.au/slwa_b2287043_6;http://purl.slwa.wa.gov.au/slwa_b2287043_7;http://purl.slwa.wa.gov.au/slwa_b2287043_5.png;http://purl.slwa.wa.gov.au/slwa_b2287043_6.png;http://purl.slwa.wa.gov.au/slwa_b2287043_7.png
b23044846,5914B,,For our boys in the trenches from Maylands State School 1916.,1916,2 photographs :,Title from sign in 5914B/1.,,,"World War, 1914-1918;Patriotism",,"5914B/1: Trench comfort packages made by Maylands Primary School students, 1916;5914B/2: Trench comfort packages made by Maylands Primary School students, 1916",http://purl.slwa.wa.gov.au/slwa_b2304484_3;http://purl.slwa.wa.gov.au/slwa_b2304484_4;http://purl.slwa.wa.gov.au/slwa_b2304484_3.png;http://purl.slwa.wa.gov.au/slwa_b2304484_4.png
b23687204,BA1591  ,,Pte Philip Vincent O'Donoghue.,1915,1 photograph :,Title supplied by cataloguer.,Private Philip Vincent O'Donoghue enlisted 15 April 1915 in the 51st Battalion. He was killed in action in France 2 April 1917.,"O'Donoghue, Philip Vincent,",Soldiers,,"BA1591: Philip Vincent O'Donoghue, 1915",http://purl.slwa.wa.gov.au/slwa_b2368720_2;http://purl.slwa.wa.gov.au/slwa_b2368720_2.png
b2397185x,BA559/517,,The Band of the 51st Battalion formed in France.,1917,1 negative :,"This image has been preserved and made available by the Historical Records Rescue Consortium (HRRC) Project supported by Lotterywest.;Title is published caption.;A photograph of this same band taken at the same time with the men wearing hats was published with the men's names in the Camp Chronicle, 20 December 1917, p.7 and in the Sunday Times 6 January 1918, p.6. Note that some name spellings and initials differ between the two publications. For this record, where possible the names have been checked against the Australian War Memorial list of WWI soldiers in 51st Battalion. Some could not be identified when more than one man in the battalion had the same initial(s)","Left-right Back row: Sig. J.P. Cooney, Pte C. Fielder, Pte A. Kellow, Pte E.L. Hobbs, Pte, J.T. Plummer, L/Cpl P. Creeper, Pte W. Sage, Pte G. Stevenson; Standing: Pte D. White, Pte W. Hoare, Pte H.C. Thomas, Pte A. Pateman, Pte A.W. Walker, Pte F. Scott, Pte D.J. Perry, Pte A. Lindie; Sitting: L/Cpl J. Atkinson, Pte H. Baker, Sgt G.S. Mellor, Liut-Col J.C. Ridley D.S.O., Maj. R. Christie, Capt. T.S. Louch, Pte H. Sloper, L/Cpl W. Savage; Front row: Buglers W.G. Moore, W.T.G. Ralston, F. Massey.","Ridley, J.C.;Louch, T. S.;Christie, Robert,;Cooney, John Patrick;Fielder, Charles;Kellow, Alfred;Hobbs, Ernest Llewellyn;Plummer, J.T.;Creeper, Percival;Sage, William Robert;Stevenson, George;White, Daniel;Hoare, William George;Pateman, Alfred William;Walker, Arthur Wright;Scott, F.;Perry, David John;Lindie, A.;Atkinson, J.;Baker, H.;Mellor, George Strauss;Sloper, Henry Edward;Savage, Wilfred;Moore, W.G.;Ralston, William Thomas Glover;Massey, Frank",Soldiers;Military bands;Online image.,,"046502PD: L-R Back: J.P. Cooney, C. Fielder, A. Kellow, E.L. Hobbs, J.T. Plummer, P. Creeper, W. Sage, G. Stevenson; Standing: D. White, W. Hoare, H.C. Thomas, A. Pateman, A.W. Walker, F. Scott, D.J. Perry, A. Lindie; Sitting: J. Atkinson, H. Baker, G.S.",http://purl.slwa.wa.gov.au/slwa_b2397185_1;http://purl.slwa.wa.gov.au/slwa_b2397185_1.png
b24220231,BA379,"Sands, A. G.","The Australian First Expeditionary Force leaving King George's Sound Albany,  Sunday 1st Nov. 1914.",1914,"1 photographic print, mounted (panorama) :","Caption title from mount.;Two black and white unmounted copies of the same image have been received in separate donations accessioned at call no. 4605B/2 and at 2506B/1 also available in this catalogue.;Lower right of photograph: Copyright. 1914. A.G. Sands. Photo. Albany. WA.;Lower left of photograph: Copyright by A.G. Sands. Albany. WA.;Written on mount: ""Presented by V. W. Bro J. Herbert Eales. G. Supt. Works.""",,,"World War, 1914-1918;Transports",Princess Royal Harbour (W.A.),"BA379: The Australian First Expeditionary Force leaving King George's Sound Albany, Sunday 1st Nov. 1914",http://purl.slwa.wa.gov.au/slwa_b2422023_4;http://purl.slwa.wa.gov.au/slwa_b2422023_4.png
b24250521,9830B  ,,Hugo Throssell in his 10th Light Horse Regiment uniform.,approximately 1914.,1 photographic print :,,,"Throssell, Hugo,",,,"9830B: Hugo Throssell in his 10th Light Horse Regiment uniform, ca.1914",http://purl.slwa.wa.gov.au/slwa_b2425052_2;http://purl.slwa.wa.gov.au/slwa_b2425052_2.png
b24662562,PR14590/39,"Ashmead-Bartlett, Ellis,","An account of the landing of our Australian heroes at the Dardanelles, 25th April 1915 /",[1915?],7:00 PM,Cover title.;Digitised as part of the World War I Centenary Project.,"""Mr Ashmead Barlett, one of correspondents permitted to accompany the fleet to the Dardanelles was aboard a warship with five hundred Australians, who formed the covering party for the landing of Gaba Tepe. He supplies a thrilling account of the landing operations"".",,"World War, 1914-1918;World War, 1914-1918;Printed ephemera.",,An account of the landing of our Australian Heroes at the Dardanelles,http://purl.slwa.wa.gov.au/slwa_b2466256_1;http://purl.slwa.wa.gov.au/slwa_b2466256_1.png
b25274545,PR14590/87,,Will they never come? /,,1 leaf ,Title from item.;Digitised as part of the World War I Centenary Project.,"Letter, dated 4th August, 1917, to men during WWI from the State Recruiting Office, ""Mr Slacker, anywhere in W.A."" appealing to them to enlist to fight and if previously rejected, to try again.",,"World War, 1914-1918;World War, 1914-1918",,PR14590/87: Will they never come?,http://purl.slwa.wa.gov.au/slwa_b2527454_2;http://purl.slwa.wa.gov.au/slwa_b2527454_2.png
b30028322,BA2211,"Midgley, Maisie,","Men enlisting during WW1 at the 5th Military District Barracks, Francis Street, Perth.",approximately 1914.,1 photograph :,Title devised by cataloguer.;Another copy of this image has been received and is in this catalogue at 61968P.,,,Men,"Francis Street (Perth, W.A.);Swan Barracks (Perth, W.A.)","BA2211: Men enlisting at Swan Barracks, Francis Street, Perth, ca. 1914",http://purl.slwa.wa.gov.au/slwa_b3002832_2;http://purl.slwa.wa.gov.au/slwa_b3002832_2.png
b3040714x,BA2228,Carlisle Studio.,"NCO Class Blackboy Hill W.A., 2 January 1916.",1916,1 photograph :,Title written on photograph.,"Photograph of non-commissioned officers, Blackboy Hill, Western Australia, dated 2 January 1916.",,Soldiers,Blackboy Hill (W.A.),"BA2228: NCO Class Blackboy Hill W.A., 2 January 1916",http://purl.slwa.wa.gov.au/slwa_b3040714_2;http://purl.slwa.wa.gov.au/slwa_b3040714_2.png
b30872339,BA2272,,Private Ed. J. Stone,1917,1 postcard :,,"Postcard showing image of Private Edward Joseph Stone sent to Mr and Mrs Brophey and Betty from Pte Stone 22/28 Battalion, Blackboy Hill, WA.  Signed Pte Ed J. Stone (Brother). Ed's sister Helen married John J. Brophey in 1913. The postcard is post marked Blackboy Hill.","Stone, Edward Joseph",Soldiers,,"BA2272: Pte Ed J. Stone, 1917;BA2272: Pte Ed J. Stone's message to his sister on the postcard made using his photograph, 1917",http://purl.slwa.wa.gov.au/slwa_b3087233_3;http://purl.slwa.wa.gov.au/slwa_b3087233_4;http://purl.slwa.wa.gov.au/slwa_b3087233_3.png;http://purl.slwa.wa.gov.au/slwa_b3087233_4.png
b33012209,BA2364,,Members of a Field Artillery Brigade.,approximately 1915-1916.,1 photograph :,,"Names written on verso : [back] Bert Muller, Adams, Hill, James [middle] Canner, Bennison, Tranter, Friend, Thompson, Lambert [front] Blay, Walker, Neilson, Simpson. Identified as Field Artillery from patches on mens sleeves, however the name of the brigade has not been identified.","Muller, Bert;Adams;Hill;James;Canner;Bennison;Tranter;Friend;Thompson;Lambert;Blay;Walker;Neilson;Simpson",Soldiers,,"BA2364: Field Artillery Brigade. [back] Bert Muller, Adams, Hill, James [middle] Canner, Bennison, Tranter, Friend, Thompson, Lambert [front] Blay, Walker, Neilson, Simpson, 1915-1916;BA2364: Back of the photograph on postcard paper",http://purl.slwa.wa.gov.au/slwa_b3301220_3;http://purl.slwa.wa.gov.au/slwa_b3301220_4;http://purl.slwa.wa.gov.au/slwa_b3301220_3.png;http://purl.slwa.wa.gov.au/slwa_b3301220_4.png
b3473319x,8292B/A/852-2;BA977,"Illustrations Ltd,",Banner of the 28th Battalion AIF.,1927,1 negative :;1 photograph :,Title devised by cataloguer.;The original negative was received with the Illustrations Ltd Collection and accessioned at 8292B/A.852-2 (scanned at 100205PD). A hand coloured print made from this negative was received later and accessioned at BA977.,,,Flags;Online image.,,"100205PD: Banner of the 28th Battalion AIF, 1927;BA977: Banner of the 28th Battalion AIF",http://purl.slwa.wa.gov.au/slwa_b3473319_1;http://purl.slwa.wa.gov.au/slwa_b3473319_2;http://purl.slwa.wa.gov.au/slwa_b3473319_1.png;http://purl.slwa.wa.gov.au/slwa_b3473319_2.png
b35205350,,"Maley, Westley Bellingham,",Westley Bellingham Maley war memoirs.,1918-1964.,"1 volume (2 unnumbered leaves, 42 leaves, 13 leaves, 3 unnumbered leaves, 2 leaves, 13 unnumbered leaves), 2 x-rays, 1 postcard.",Title devised by cataloguer.,"Typescript memoir, written by Westley Bellingham Maley. He relates his experiences during his World War I service. ""To my dear nephew James Addison Harwood from Uncle West"" is written in pen on the first page. The memoir is written in two parts, part one: ""Black Boy Hill to Dickiebusch"" and part two: ""Guns on the Western Front"". The x-rays show  a piece of shrapnel which pierced the diaphragm and lodged in Maley's chest. The postcard is of the hospital ship ""Wandilla"". Maley has written in pencil on it, describing his trip from Bristol to Alexandria, where he was transferred to the General Hospital. From there he continued from Suez to Fremantle on the Australian hospital ship Koroola.","Maley, Westley Bellingham","Soldiers;World War, 1914-1918;World War, 1914-1918",,Black Boy Hill to Dickiebusch and Guns on the Western Front,http://purl.slwa.wa.gov.au/slwa_b3520535_1;http://purl.slwa.wa.gov.au/slwa_b3520535_1.png
b35757140,OH4010,"Simmons, George Alfred,",Interview with George Simmons /,1982,"1 audiocassette (55 min., 23 sec.) :",Title devised by cataloguer.,"George Simmons was born in 1894. This interview discussed his early life and family circumstances in England prior to World War I. Geroge Simmons was enlisted in 1914 to the Royal Naval Air Service as a seaman and was promoted to Flight Sergeant. Attached to the 211 Squadron - Royal Flying Corps from 1914 to 1918, he saw action over France as an air gunner and air crew observer. He discussed living in England during the Great Depression and before World War II, the bombing of London and the conditions after World War II. He migrated to Australia in 1979.","Simmons, George Alfred,","World War, 1939-1945;World War, 1914-1918;Veterans",,OH4010 Part 1: Interview with George Simmons in 1982;OH4010 Part 2: Interview with George Simmons in 1982;OH4010 Transcript: Interview with George Simmons in 1982,http://purl.slwa.wa.gov.au/slwa_b3575714_1;http://purl.slwa.wa.gov.au/slwa_b3575714_2;http://purl.slwa.wa.gov.au/slwa_b3575714_3;http://purl.slwa.wa.gov.au/slwa_b3575714_1.png;http://purl.slwa.wa.gov.au/slwa_b3575714_2.png;http://purl.slwa.wa.gov.au/slwa_b3575714_3.png
b35946052,OH4011,"Caporn, Douglas Roy,",Interview with Douglas Roy Caporn /,1982,1 audiocassette :,Title devised by cataloguer.,"Douglas Roy (Rocca) Caporn was born in 1896. In this interview, he discussed his family life growing up in Claremont. In 1914, he joined the Citizen Military Services Infantry - 16th Battalion based in Fremantle and Rottnest Island. Enlisted in 1914 in the Western Australian 10th Light Horse Regiment, serving in Egypt, Suez, and Gallipoli (at ""the Net"", Walkers Ridge, Canterbury Slopes). He discussed his impressions of the war and Gallipoli such as life in the trenches, the Turkish soldiers, treatment of the horses, Battle of Romani and Suez Canal.","Caporn, Douglas Roy","World War, 1939-1945;World War, 1914-1918;World War, 1914-1918;Veterans",,Interview with Douglas Roy Caporn / by Bill Edgar. ;Transcript. Interview with Douglas Roy Caporn / by Bill Edgar,http://purl.slwa.wa.gov.au/slwa_b3594605_1;http://purl.slwa.wa.gov.au/slwa_b3594605_2;http://purl.slwa.wa.gov.au/slwa_b3594605_1.png;http://purl.slwa.wa.gov.au/slwa_b3594605_2.png
