Creator,Title,Edition,Publication details,Physical description,Notes,Contents,Summary,Subject - Personal name,Subject - Corporate name,Subject - Topical,Subject - geographic,Subject - Form/Genre,Subject - Uniform title,Other creator,ISBN,Series,Other formats,URL
"Bailey, Thomas Andrew,1902- ",The Lusitania disaster :an episode in modern warfare and diplomacy /Thomas A. Bailey and Paul B. Ryan,,"New York :Free Press,<1975>","xv, 383 p., <8> leaves of plates :ill. ;24 cm",Includes index.,,,,Lusitania (Ship),"World War, 1914-1918--Naval operations",,,,"Ryan, Paul B.,joint author",29012406,,,
"Bond, John ",The army that went with the boys :a record of Salvation Army work with the Australian Imperial Force /by Lieut.-Colonel Bond,,"Melbourne :Salvation Army, National Headquarters,1919","viii, 190 p., <60> p. of plates :ill., ports. ;19 cm.",Cover title: The Army that went with the boys : a record of Salvation Army work with the A.I.F.,,Companion vol.: Salvos with the forces.,,Salvation Army,"World War, 1914-1918--Chaplains",,,,"Salvation Army.National Headquarters (Melbourne, Vic.)",,,,
"Franks, Norman L. R.(Norman Leslie Robert),1940- ","Mannock :the life and the death of Major Edward Mannock, VC, DSO, MC, RAF /Norman Franks and Andy Saunders.",,"London ;Philadelphia :Grub Street,c2008.","192 p. :ill., maps, ports. ;25 cm.",,,,"Mannock, Edward,--1887-1918.",Great Britain.--Royal Air Force--Officers--Biography,"Fighter pilots--Great Britain--Biography. ; --World War, 1914-1918--Aerial operations, British.",,,,"Saunders, Andy.",9781906502126 (hbk.),,,
 ,Gender relations in Australia :domination and negotiation /edited by Kay Saunders and Raymond Evans,,"Sydney :Harcourt Brace Jovanovich,1992","xxiv, 464 p. :ill., ports ;25 cm.",For tertiary students.,,,,,"Women--Australia--Social conditions ; --Australia--Race relations--History ; --Sexism--Australia--History ; --Men--Australia--Social conditions ; --World War, 1914-1918--Women--Australia ; --World War, 1939-1945--Women--Australia",,,,"Saunders, Kay,1947- ; Evans, Raymond(Raymond L.),1944-",0729512185 (pbk.),,,
 ,"Matters of conflict :material culture, memory and the First World War /edited by Nicholas J. Saunders.",,"London ;New York :Routledge,2004.","ix, 214 p. :ill. ;24 cm.",,,"""Matters of Conflict looks at the definitive invention of the twentieth century - industrialised war - and its vast and varied material legacy. From trench art and postcards through avant-garde art, museum collections and prosthetic limbs to battlefield landscapes, the book examines the First World War and its significance through the things it left behind.""--BOOK JACKET.",,,"World War, 1914-1918. ; --Material culture. ; --Memory--Social aspects.",,,,"Saunders, Nicholas J.",0415280532 (alk. paper) ; 0415280540 (pbk. : alk. paper) ; 020350254X (e-book),,,
 ,Private John Simpson[videorecording],,"Lindfield :Film Australia,1988","1 videocassette (VHS) (48 min.) :sd., col. ;1/2 in.","Credits: Producers, Ron Saudners, Pamela Vanneck; director, Henri Safran; writer, Roger McDonald.",,"Dramatised account of the life of Private John Simpson, who with his donkey was a familiar sight on the shores at Gallipoli, carrying wounded allied soldiers from the frontline to the beach.","Kirkpatrick, John Simpson,--1892-1915.",,"World War, 1914-1918--Personal narratives, Australian",,,,"Saunders, Ron ; Vanneck, Pamela ; Safran, Henri ; McDonald, Robert,1941- ; Film Australia",,Willesee's Australians,,
 ,War stories and our town :January - December 2015 : Scenic Rim Anzac centenary program.,,"[Beaudesert, Qld.] :[Scenic Rim Regional Council],[2015].","48 pages :illustrations (chiefly colour), portraits  ;30 cm.",,,,,"Australia.--Army--History--World War, 1914-1918.","World War, 1914-1918--Queensland--Scenic Rim region--Centennial celebrations, etc.",,,,"Scenic Rim (Qld. : Region).Council ,",,,,
 ,1914 :the Avant-Gardes at war /editor Kunst- und Ausstellungshalle der Bundesrepublik Deutschland ; concept and scientific editing Uwe M. Schneede ; translation from the German Tim Connell.,,"Köln :Snoeck,2013. ; ©2013.",360 pages :chiefly colour illustrations ;29 cm,"""Bundeskunsthalle, Kunst- und Ausstellungshalle der Bundesrepublik Deutschland, November 8, 2013-February 23, 2014"" ; ""... published on the occasiion of the exhibitions '1914 : The Avant-Gardes at War', and 'Missing Sons',  November 8, 2013-February 23, 2014 in the Kunst- und Austellungshalle der Bundesrepublik Deutschland, Bonn"" -- Colophon.","Preface / Rein Wolfs -- Introduction / Uwe M. Schneede --1914 : the rupture in history / Lucian Hölscher -- The avant-gardes at war / Uwe M. Schneede -- Works -- The avant-gardes ante 1914 -- 1914: off to war -- Trauma 1914-1915 -- Perspectives for the twentieth century 1915-1918 -- Cubism at the front : Military and artistic De (con) struction in the work of Fernand Léger / Uwe Fleckner -- Oskar Kokoschka 1915-1917 : From a war artist for pacifists / Régine Bonnefoit and Gertrud Held -- ""I draw, it safeguarded me against danger and death."" Max Beckmann's War 1914-1915 / Uwe M. Schneede -- War is declared : pictorial propaganda of Mayakovsky and Malevich / Eckhart J. Gillen -- Creative enrichment : Paul Klee in the First World War / Christine Hopfengart -- Art heralds--Art dealers : the Franco-German art trade and the avant-garde exhibitions circa 1914 / Friederike Kitschen -- War, storm and regeneration : Art debates in Germany and France 1914-1918 / Joe Segal -- Artists in uniform -- Missing sons : war as a vanishing act / Jay Winter.",,,,"World War, 1914-1918--Art and the war--Exhibitions. ; --Avant-garde (Aesthetics)--Europe--History--20th century--Exhibitions.",,,,"Schneede, Uwe M,editor,curator. ; Kunst- und Ausstellungshalle der Bundesrepublik Deutschland,editor,host institution.",9783864420535 (English edition : hd.bd.) ; 3864420539 (hd. bd.) ; 9783864420528 (German) ; 3864420520 (German),,,
"Schneider, Dorothy ",Into the breach :American women overseas in World War I /Dorothy and Carl J. Schneider,,"New York :Viking,1991","xiv, 368 p. :ill ;24 cm.",,,,,,"World War, 1914-1918--Women--United States",,,,"Schneider, Carl J.",670839361,,,
"Thorp, C. Hampton. ","A handful of Ausseys /by C. Hampton Thorp, A.I.F. ; with illustrations by James F. Scott.",,"London :John Lane, Bodley Head ;New York :John Lane Co.,1919.","xvii, 296 p., [6] leaves of plates :ill. ;20 cm.",,,,"Thorp, C. Hampton.",,"World War, 1914-1918--Personal narratives, Australian. ; --World War, 1914-1918--Australia. ; --Soldiers--Australia--Biography.",,,,"Scott, James F.",,On active service,,
"Jones, Albert James. ",Corporal Jones' war :the diary of an ANZAC /[edited by S.M. Scott].,,"Perth, W.A. :Black Swan Press, Curtin University of Technology,2005.","207 p. :ill., maps, ports. ;21 cm.",,,,"Jones, Albert James--Diaries.","Australia.--Army.--Divisional Signalling Company, 1st--Biography.","Soldiers--Western Australia--Diaries. ; --World War, 1914-1918--Personal narratives, Australian. ; --World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula. ; --World War, 1914-1918--Campaigns--France.",,,,"Scott, S. M.",0975751905 (pbk.),,,
 ,"We are making a new world :artists in the 1914-18 war: paintings, sculpture, prints and photographs from the Imperial War Museum, London /organised by the Scottish National Gallery of Modern Art and toured by the Scottish Arts Council",,"Edinburgh :The Scottish National Gallery of Modern Art,<1974>",<8> p. :ill. ;41 cm.,Caption title.,,,,Imperial War Museum (Great Britain)--Exhibitions,"World War, 1914-1918--Art and the war--Exhibitions ; --War in art--Exhibitions",,,,Scottish National Gallery of Modern Art ; Imperial War Museum (Great Britain) ; Scottish Arts Council,,,,
 ,Echoes of Anzac :the voice of Australians at war /edited by Graham Seal,,"South Melbourne, Vic. :Lothian Books,2005.","vi, 298 p. :ill., ports. ;24 cm.",,,"One of the little-known aspects of the Anzac legend is the large body of verse, story and song created by the Anzacs during the war. Collected over 20 years and assembled here for the first time, these verses, ditties and yarns present a digger's-eye view of Australia at war and are an important part of Australia's folklore heritage. ; One of the little-known aspects of the Anzac legend is the large body of verse, story and song created by the Anzacs during the war. Collected over 20 years and assembled here for the first time, these verses, ditties and yarns present a digger's-eye view of Australia at war and are part of Australia's folklore heritage.",,,"War poetry, Australian--20th century. ; --War songs--Australia--20th century. ; --World War, 1914-1918--Australia--Music and the war. ; --World War, 1914-1918--Australia--Songs and music. ; --World War, 1939-1945. ; --Korean War, 1950-1953. ; --Vietnam War, 1961-1975.",Australia--Armed Forces--History--Sources.,,,"Seal, Graham,1950-",0734408099 (pbk),,,
"Writer, Larry. ",First blood :Australia's first great sea battle /Larry Writer with Douglas Sellick.,,"Double Bay, N.S.W. :Media 21,c2009.","296 p., [8] p. of plates :ill., ports ;23 cm.",,,,,Sydney (Cruiser : 1913-1929) ; --Emden (Cruiser),"World War, 1914-1918--Naval operations, Australian. ; --World War, 1914-1918--Naval operations, German. ; --Naval battles--Cocos (Keeling) Islands.","Australia--History, Naval. ; --Germany--History, Naval.",,,"Sellick, Douglas R. G.",9781876624057 (pbk.),,,
"Partridge, Eric,1894-1979 ","Frank Honywood, Private :a personal record of the 1914-1918 war /Eric Partridge ; introduced and annotated by Geoffrey Serle",,"Carlton, Vic. :Melbourne University Press,1987",146 p. :1 map ;23 cm.,"Previously published in: Three personal records of the war. London : Scholartis Press, 1929.",,,"Partridge, Eric,--1894-1979",,"World War, 1914-1918--Personal narratives, Australian ; --Soldiers--Australia--Biography",,,,"Serle, Geoffrey,1922-1998",522843409,,,
" Services' Defence Week(1934 :Melbourne, Vic.) ; ","Services' Defence Week, Monday, Feb. 12 -- Saturday, Feb. 17, 1934, Exhibition Buildings and Arena, Melbourne :official diary & programme /organised and presented by The Services' Centenary Council, in conjuction with The Citizens' Defence Committee",,"<Melbourne :The Council,1934>",40 p. :ill. ;22 cm.,,,,,,"World War, 1914-1918--Exhibitions",Australia--Armed Forces--Exhibitions,,,"Services' Centenary Council (Melbourne, Vic.) ; Citizens' Defence Committee (Melbourne, Vic.)",,,,
 ,The War and Democracy /by R.W. Seton-Watson <and others>,,"Lond. :Macmillan,1915, c1914",390 p. :maps ;19 cm.,With bibl.,,,,,"World War, 1914-1918--Causes",Europe--History,,,"Seton-Watson, R. W.(Robert William),1879-1951",,,,
 ,"Anzac :meaning, memory and myth /edited by Alan Seymour and Richard Nile",,"London :University of London, Sir Robert Menzies Centre for Australian Studies,1991",91 p. ;21 cm.,,,,,Australia.--Army.--Australian and New Zealand Army Corps,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula ; --Anzac Day--Public opinion",,,,"Seymour, Alan ; Nile, Richard,1958- ; Sir Robert Menzies Centre for Australian Studies",1855070316,,,
"House, Edward Mandell ",The intimate papers of Colonel House /arranged as a narrative by Charles Seymour,,"London :Benn,<1926-28>",4 v. :ill. ;24 cm.,,"Vol. 1. Behind the political curtain, 1912-1915 -- Vol. 2. From neutrality to war, 1915-1917 -- Vol. 3. Into the World War, April 1917-June 1918 -- Vol. 4. The ending of the war, June 1918-November 1919.",,,,"Statesmen--United States--Correspondence ; --World War, 1914-1918--Sources",,,,"Seymour, Charles",,,,
"Bowen, Frank C.(Frank Charles),1894-","The flag of the Southern Cross :the history of Shaw Savill & Albion Co. Limited, 1858-1939 /by Frank C. Bowen ; with a preface by Viscount Runciman of Doxford",,"London :Shaw Savill & Albion Co.,1939","122, xxvii p., <22> leaves of plates :ill., ports ;23 cm.",Includes index.,,,,Shaw Savill & Albion Co.,"Merchant marine--Great Britain ; --World War, 1914-1918--Naval operations, British",New Zealand--History,,,Shaw Savill & Albion Co.,,,,
 ,The Cambridge companion to the literature of the First World War /edited by Vincent Sherry.,,"Cambridge ;New York :Cambridge University Press,2005.","xviii, 322 p. ;24 cm.",,"Introduction / Vincent Sherry -- 1. British war memoirs / Paul Edwards -- 2. The British novel and the war / David Trotter -- 3. The Great War, history, and the English lyric / Edna Longley -- 4. British women's writing of the Great War / Claire Buck -- 5. The Great War and literary modernism in England / Vincent Sherry -- 6. The Great War and the European avant-garde / Marjorie Perloff -- 7. French writing of the Great War / Catharine Savage Brosman -- 8. The Great War and modern German memory / Stanley Corngold -- 9. American writing of the Great War / John T. Matthews -- 10. Myths, memories, and monuments : reimagining the Great War / Sharon Ouditt -- 11. Interpreting the war / James Campbell -- 12. The Great War in twentieth-century cinema / Laura Marcus.","""The Great War of 1914-1918 marks a turning point in modern history and culture. This Companion offers critical overviews of the major literary genres and social contexts that define the study of the writings produced by the First World War. It examines the impact of the war on various national literatures, and on modernism, the European avant-garde, film, women's writing, and notably on the memoirs, novels, and poetry of Britain. The volume features a chronology and guide to further reading, and concludes by addressing the legacy of the war for subsequent literary and popular culture.""--BOOK JACKET.",,,"Literature, Modern--20th century--History and criticism. ; --World War, 1914-1918--Literature and the war.",,,,"Sherry, Vincent B.",0521821452 (alk. paper) ; 0521528976 (pbk. : alk. paper),Cambridge companions to literature,,
"Miller, Helena. ",Joy bells are ringing[music] /words by E. T. Shorley ; music by Helena Miller.,,"[S.l.] :[s.n.],[191-?].",[3] p. ;36 cm.,"""Dedicated to the heroes of the great war"". -- cover caption. ; The peace song. ; Words printed on preface page.",,,,,"Patriotic music--Australia. ; --World War, 1914-1918--Australia--Songs and music.",,,,"Shorley, E. T.(Ezra Thomas),1868-1946.",,,A digital copy is available at http://hdl.handle.net/10462/comp/1221SLQ DigPub,http://hdl.handle.net/10462/comp/1221 ; http://www.slq.qld.gov.au/home/copyright
"Gollmick, Ernest. ",The Day of victory[music] :song /words by E. T. Shorley ; music by Ernest Gollmick.,,"Rockhampton, Qld. :Printed by Record Printing Company,[1918?]",1 score (3) p. ;37 cm.,"""In commemoration of the signing of the Armistice, 11th November, 1918"". --cover.",,,,,"Songs with piano. ; --World War, 1914-1918--Songs and music. ; --Armistice Day--Songs and music.",,,,"Shorley, E. T.(Ezra Thomas),1868-1946.",,,A digital copy is available at http://hdl.handle.net/10462/comp/1212SLQ DigPub,http://hdl.handle.net/10462/comp/1212 ; http://www.slq.qld.gov.au/home/copyright
 ,Countess of Liverpool's gift book of art and literature /[editor A.W. Shrimpton],,"Christchurch, N.Z. :Whitcombe and Tombs,1915","160 p., <24> leaves of col. plates :ill., music ;26 cm",,,,,,"World War, 1914-1918--New Zealand--Literature and the war ; --World War, 1914-1918--New Zealand--Art and the war ; --World War, 1914-1918--Gift books ; --World War, 1914-1918--New Zealand--Fiction",,,,"Shrimpton, A.W.(Arnold Wilfred)",,,,
"Stephens, Tony. ","The last Anzacs :lest we forget /text, Tony Stephens ; photographs,  Steven Siewert ; foreword, Peter Cosgrove.",Rev. ed.,"North Fremantle, W.A. :Fremantle Press,2009.","184 p. :ill., map, ports. ;20 cm.","Previous ed.: Fremantle Arts Centre Press, 2003.",,"""ANZAC Soldiers -  More than 75,000 Australians and New Zealanders went to war on the Gallipoli Peninsula in 1915. They shared a horror, but their courage and deeds on a battlefield of tragic errors and unimaginable suffering helped build a legend, the legend of the Anzacs. The British lost more men on Gallipoli than did the Anzacs. The Anzacs lost more men on the Western Front than they did against the Turks at Gallipoli. Yet, rightly or wrongly, Gallipoli is etched deepest into the Australian and New Zealand psyches.  Now, all the original Anzacs, the men of Gallipoli, are gone. This book records the lives of the last of them.""--Provided by publisher.",,Australia.--Army.--Australian and New Zealand Army Corps.,"World War, 1914-1918--Personal narratives, Australian. ; --World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Personal narratives, Australian. ; --Veterans--Australia--Interviews.",,,,"Siewert, Steven,1964-",9781921361463 (hbk.),,,
 ,"Anglo-American naval relations, 1917-1919 /edited by Michael Simpson",,"Aldershot, Hants, England :Published by Scolar Press for the Navy Records Society ;Brookfield, Vt., USA :Gower,1991","xvii, 648 p. ;23 cm.",,,,,"United States.--Navy--History--World War, 1914-1918--Sources ; --Great Britain.--Royal Navy--History--World War, 1914-1918--Sources","World War, 1914-1918--Naval operations, American--Sources ; --World War, 1914-1918--Naval operations, British--Sources",United States--Military relations--Great Britain--Sources ; --Great Britain--Military relations--United States--Sources,,,"Simpson, Michael",859678636,Publications of the Navy Records Society ;vol. 130,,
 ,The Singer Collection of War Celebrities,,"<s.l.> :Singer Sewing Machine Co. Ltd.,<191->",16 p. :ports. ;29 cm.,,"16 photographs, with booklet containing biographies.",,,,"World War, 1914-1918",,,,Singer Sewing Machine Company,,,,
"Thomson, Alistair,1928- ",Stragglers or shirkers :an ANZAC Imperial Controversy /Alistair Thomson,,"London :Sir Robert Menzies Centre for Australian Studies,1991",8 p. ;21 cm.,,,,,Australia.--Army.--Australian and New Zealand Army Corps,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--History ; --Military history--20th century","Australia--History, Military--20th century--Sources ; --Great Britain--History, Military--20th century--Sources",,,Sir Robert Menzies Centre for Australian Studies,1855070367,Working papers in Australian studies ;no. 67,,
"Richardson, Pat,1933- ",Queenie :letters from an Australian Army nurse 1915-1917 /researched and edited by Pat Richardson and Anne Skinner.,,"Sunnybank Hills, Qld. :BookPal,2012","162 p. :ill., ports., facsims. ;23 cm.",Cover subtitle: A personal snapshot of World War I through the letters of a Queensland army nurse 1915-1917.,,"Queenie : letters from a Queensland army nurse 1915-1917. Letters to Edith Avenall's family, written on the boat, Egypt, France and England; discusses the journey on the boat, the living conditions of the nurses in Egypt, France and England, the sufferings of the wounded, censorship restrictions, homesickness, recreation, and impressions of the countries she worked in; also includes biographical information about Edith and her family.","Avenall, Edith Florence,--1890-1936--Correspondence.",Australia.--Army--Nurses--Correspondence.,"Military nursing--Australia. ; --World War, 1914-1918--Personal narratives, Australian. ; --World War, 1914-1918--Australia--Medical care. ; --World War, 1914-1918--Participation, Female. ; --War--Relief of sick and wounded.",Australia--Armed Forces--Nurses.,,,"Skinner, Anne.",9781742841991 (pbk.),,,
"Dollman, W.(Walter) ",The blue and brown diamond :a history of the 27th Battalion Australian Imperial Force 1915-1919 /by W. Dollman and H. M. Skinner ; forewords by Sir C.B.B. White and E. R. Wisdom,,"Adelaide :Lonnen & Cope,1921","227 p., <13> p. of plates :ill., maps, ports. ;22 cm",,,,,"Australia.--Army.--Battalion, 27th","World War, 1914-1918--Regimental histories--Australia",,,,"Skinner, H. M.",,,,
"Franki, George.","Mad Harry :Harry Murray, VC, CMG, DSO and Bar DCM C de G : Australia's most decorated soldier /George Franki and Clyde Slatyer.",,"East Roseville, N.S.W. :Kangaroo Press,2003.","xi, 276 p., [16] p. of plates :ill., maps, ports. ;24 cm.",,,"To each character of Australian war history is attached a story inevitably of bravery, courage, and humour, and Mad Harry is no exception. Yet there is to his story a distinguishing significance, for Mad Harry is Australia's most decorated soldier.","Murray, Harry,--1880-1966.",Australia.--Army.--Australian Imperial Force (1914-1921)--Biography.,"Soldiers--Australia--Biography. ; --World War, 1914-1918--Biography. ; --Victoria Cross--Biography.",,,,"Slatyer, Clyde.",0731811887 (pbk),,,
 ,Australia in the great war :the story told in pictures /edited by H. C. Smart.,,"London :Cassell,1918.",192 p. :chiefly ill. ;27 cm.,Issued in parts no.s 1-8 with continuous pagination.,,,,,"World War, 1914-1918--Pictorial works. ; --World War, 1914-1918--Australia--Pictorial works.",,,,"Smart, H. C.",,,,
"Spagnoly, Tony(Anthony F.) ",The Anatomy of a raid :Australia at Celtic Wood 9th October 1917 (The Broodseinde Ridge - Third Battle of Ypres) /by Tony Spagnoly ; edited by Ted Smith ; with an introduction by John Laffin,,"London :Multidream Publications,1991","xxi, 158 p., <32> p. of plates, <3> folded leaves :ill., maps (2 folded), ports. ;22 cm.",Bibliography: p.157-158.,Includes glossary.,,,,"World War, 1914-1918--Campaigns--Belgium ; --Ypres, 3rd Battle of, Ieper, Belgium, 1917 ; --World War, 1914-1918--Australia",,,,"Smith, Ted,1936-",1873249004,,,
"Smout, E. D.(Edward David),1898-2004. ",Three centuries spanned /life story of E.D. (Ted) Smout / <compiled by> Arthur Smout,,"Moorooka, Qld. :Boolarong Press,<2000>","v, 106 p. :ill., ports. ;21 cm","'My grateful thanks to my brother Arthur who, having persuaded me to publish my biography, undertook the task of compiling it' -- p. iii.",,,"Smout, E. D.--(Edward David),--1898-2004.",Australia.--Army.--Australian Imperial Force (1914-1921)--Biography,"Veterans--Australia--Biography ; --Centenarians--Australia--Biography ; --World War, 1914-1918--Veterans--Australia",,,,"Smout, Arthur H.(Arthur Henry)",864392095,,,
"Judd, E. E.(Ernest Edward) ",Judd's speech from the dock,3rd ed.,"Sydney :Socialist Labor Party of Australia,1919 - (Sydney - Worker Trade Union Print)",72 p. :port ;19 cm.,,,,,,"Socialism ; --World War, 1914-1918--Moral and ethical aspects ; --Recruiting and enlistment",,,,Socialist Labor Party of Australia,,,,
"Judd, E. E.(Ernest Edward) ",The war and the Sydney Labor Council /an address delivered by E.E. Judd,,"<Sydney> :Socialist Labor Party of Australia,1917",<16> p. ;18 cm,,,,,Labor Council of New South Wales,,"World War, 1914-1918--Australia",,,Socialist Labor Party of Australia,,,,
"Cavill, H. W. ",Imperishable Anzacs :a story of Australia's famous First Brigade /from the diary of H.W. Cavill.,,"Sydney :William Brooks,1916.","94, [16] p. :ill. (some col.), map, ports. ;25 cm.","Last [16] p. of photographs. ; Illustrators: D.H. Souter, Harry Julius, Ben Jordan, O. Brock, G.A. Taylor.",,,"Cavill, H. W.","Australia.--Army.--Brigade, 1st.","World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula. ; --World War, 1914-1918--Personal narratives, Australian.",,,,"Souter, D. H.(David Henry),1862-1935 ; Julius, Harry,1885-1938. ; Jordan, Ben.",,,,
,"Alphabetical index to photographic portraits of South Australian soldiers, sailors & nurses who took part in the European War 1914-19[microform]",,"<North Adelaide, S.Aust.> :State Records,<1993>",1 microfiche :negative,Reference no.: GRG 26 series 5/5 Sp. list.,,,,,"World War, 1914-1918--South Australia--Portraits--Indexes",South Australia--Biography--Portraits,,,South Australia. State Records,,,,
"Bryant, Charles,1883-1937. ","Exhibition of marine and war paintings by Charles Bryant, R.O.I.",,"Adelaide, S. Aust. :S.A. Society of Arts Gallery,1923.",1 folded sheet (4 p.) ;26 cm.,"Cover title. ; Foreword by J.S. MacDonald. ; Portrait of artist on cover. ; Catalogue of an exhibition held at S.A. Society of Arts Gallery August 7-20, 1923.",,,"Bryant, Charles,--1883-1937--Exhibitions.",South Australian Society of Arts--Exhibitions.,"Painting, Australian--20th century--Exhibitions. ; --Marine painting, Australian--20th century--Exhibitions. ; --World War, 1914-1918--Art and the war--Exhibitions.",,,,South Australian Society of Arts.,,,,
 ,Suvla Bay[music] /by Jack Spade ; arr. by Jimmy Lally. The crystal gazer / by Franch Petch ; arr. by Jeff Muston,,"Sydney :J.Albert & Son,1944",11 parts ;24 cm.,,,,,,"Band music, Arranged ; --Dance-orchestra music, Arranged ; --World War, 1914-1918--Australia--Songs and music",,,,"Spade, Jack ; Petch, Frank.Crystal gazer ; Lally, Jimmy ; Muston, Jeff",,,,
"Hartnett, Sonya,1968- ",The silver donkey /Sonya Hartnett ; illustrations by Anne Spudvilas.,,"Camberwell, Vic. :Puffin Books,2007, c2004.",191 p. :ill. ;20 cm.,"First published by Penguin Books Australia in 2004. ; ""Winner of the CBC Book of the Year Award: Younger Readers""--Cover.",,A stunning fable-like classic children's novel set in France in WWI from this multi-award- winning author. Marcelle and Coco find the temporarily blind English soldier sheltering in the woods above their house. Ages 6+.,,,"World War, 1914-1918--France--Juvenile fiction. ; --Soldiers--France--Juvenile fiction. ; --Children's stories.",,,,"Spudvilas, Anne,1951-",9780143301578 (pbk.),,,
"Horden, Charles ",Military operations :East Africa /compiled by Charles Hordern ; founded on a draft by H. FitzM. Stacke,,"London :H.M.S.O.,1941",v. :col. maps ;22 cm.,Includes index. ; 'By direction of the Historical Section of the Committee of Imperial Defence'. ; Maps on endpapers. ; 'Official history of the War' -- Spine. ; Library holds v. 1 only,Vol. 1. August 1914-September 1916.,,,,"World War, 1914-1918--Campaigns--Africa, Eastern",,,,"Stacke, H. FitzM. ; Great Britain. Committee of Imperial Defence. Historical Section",,History of the Great War,,
 ,Q ANZAC 100 :memories for a new generation /State Library of Queensland.,,"[Brisbane] :State Library of Queensland,[2013]-","1 online resource :illustrations (some colour), videorecordings.","Title from title screen (viewed on May 09, 2014)",,"Website of Q ANZAC 100: Memories for a New Generation, a five-year program of legacy initiatives that will commemorate and celebrate Queensland's history, capture living memories, and help current and future generations understand Queensland's experiences during and after the First World War - renewing the First World War and Anzac legacy. Includes information about the program and initiatives, community project funding opportunities, and links to digital resources.",,State Library of Queensland. ; --Australia.--Army.--Australian Imperial Force (1914-1921) ; --Australia.--Army.--Australian and New Zealand Army Corps.,"World War, 1914-1918--Queensland. ; --World War, 1914-1918--Queensland--Anniversaries, etc. ; --World War, 1914-1918--Queensland--Centennial celebrations, etc.",,,,"State Library of Queensland,issuing body.",,,,http://www.slq.qld.gov.au/ ; http://nla.gov.au/nla.arc-143965
"Page, Charles J.(Charles John),1946-,authorphotographer. ",Memories in place :the centenary of World War 1 /Charles J. Page.,,"[Brisbane] :Charles J Page, State Library of Queensland and Griffith University,[2013]. ; ©2013",221 pages :chiefly illustrations ;25 x 36 cm,In slipcase.,,"""The names of WW1 battlefields where millions died are memorialised in Australia in a range of interesting ways. As a result of the patriotic fervour in post war Australia, housing estates, suburban streets, country towns, rivers and soldier settlements reflect names that had become synonymous with sacrifice. This project explores the enduring connections between these places in Australia and Europe that became inexorably linked as a result of the war.""--Charles J. Page website.",,,"Battlefields--Turkey--Gallipoli Peninsula--Pictorial works. ; --Battlefields--Belgium--Pictorial works. ; --Battlefields--France--Pictorial works. ; --World War, 1914-1918--Battlefields--Pictorial works. ; --World War, 1914-1918--Monuments--Australia--Pictorial works. ; --World War, 1914-1918--Monuments--Pictorial works. ; --Names, Geographical--Australia--Pictorial works. ; --Street names--Australia--History--Pictorial works. ; --Documentary photography.",,,,"State Library of Queensland,issuing body. ; Griffith University,issuing body.",9.78E+12,,,
 ,Anzac Memorial,,"Sydney :Returned Soldiers Association,1916 (William Brooks, printer)","303 p. :ill., ports. ;23 cm.",Includes index. ; Half title: N.S.W. Anzac memorial. ; Edited by A.G. Stephens.,,,,Australia.--Army.--Australian and New Zealand Army Corps--Registers of dead ; --Australia.--Army.--Australian and New Zealand Army Corps--Biography,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula ; --World War, 1914-1918--Personal narratives, Australian ; --World War, 1914-1918--Personal narratives, New Zealand",Gallipoli Peninsula (Turkey)--History,,,"Stephens, A. G.(Alfred George),1865-1933 ; Returned Soldiers Association of New South Wales",,,,
"Stevenson, D.(David),1954- ",1914-1918 :the history of the First World War /David Stevenson.,,"London :Penguin,2012.","xxii, 728 p., [16] p. of plates :ill., maps ;20 cm.","Originally published: as Cataclysm. New York: Basic; as 1914-1918. London: Allen Lane, 2004.",,"1914-1918"", David Stevenson's history of the First World War, has been acclaimed as the definitive one-volume account of the conflict. In the summer of 1914 Europe exploded into a frenzy of mass violence. The war that followed had global repercussions, destroying four empires and costing millions of lives. Even the victorious countries were scarred for a generation, and we still today remain within the conflict's shadow. In this major analysis David Stevenson re-examines the causes, course and impact of this 'war to end war', placing it in the context of its era and exposing its underlying dynamics. His book provides a wide-ranging international history, drawing on insights from the latest research. It offers compelling answers to the key questions about how this terrible struggle unfolded: questions that remain disturbingly relevant for our own time.",,,"World War, 1914-1918.",,,,"Stevenson, D.(David),1954-.Cataclysm.",9780718197957 (pbk.) ; 071819795X (pbk.),,,
 ,The Oxford illustrated history of the First World War /edited by Hew Strachan,,"Oxford ;New York :Oxford University Press,1998","xii, 356 p., <8> leaves of col. plates :ill. (some col.), maps, ports. ;25 cm.",,,,,,"World War, 1914-1918",,,,"Strachan, Hew",0198206143 ; 0192893254 (pbk.),,,
 ,Catalogue :with the Australians on the Somme.,,"[London] :Langley & Sons,[1919]",[3] p. ;22 cm.,"Cover title. ; ""Pictures by Lt. Arthur Streeton"".",,,"Streeton, Arthur,--Sir,--1867-1943--Exhibitions.","Alpine Club Gallery (London, England)--Exhibitions.","World War, 1914-1918--Art and the war. ; --Somme, 1st Battle of the, France, 1916--Exhibitions. ; --World War, 1914-1918--Campaigns--France--Exhibitions. ; --Landscape painting, Australian--Exhibitions.",,,,"Streeton, Arthur,Sir,1867-1943.",,,,
