RECORD #(BIBLIO),RECORD URL,XML,NAME,TITLE,DATES/PUBLICATION DETAILS,DESCRIPTION/QUANTITY,SUMMARY,SUBJECT,SERIES/COLLECTION,IMAGE
b2071404x,http://www.catalog.slsa.sa.gov.au/record=b2071404,http://www.catalog.slsa.sa.gov.au/xrecord=b2071404,,Private Reguer,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",Private Reguer.,"Reguer, Private;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_428.htm
b20714063,http://www.catalog.slsa.sa.gov.au/record=b2071406,http://www.catalog.slsa.sa.gov.au/xrecord=b2071406,,Captain H. E. Rowell,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Inspection of troops as unknown location. It has been suggested by a researcher that the man on the left is Colonel .E. Rowell, father of Captain H.E. Rowell on the right. The heavy set officer (3rd from left) is believed to be Lieutenant Colonel Douglas Gordon, Commanding Officer of the 43rd Battalion, with the Governor, Sir Henry Galway is partially visible to the left of the man 2nd from left.","Rowell, Harold Edward, 1881-1951;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_430.htm
b20714075,http://www.catalog.slsa.sa.gov.au/record=b2071407,http://www.catalog.slsa.sa.gov.au/xrecord=b2071407,,Ernest Ross,1915,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 2776, Private Ernest Ross, 1st Australian Imperial Force.","Ross, Ernest Sinkinson, 1896-1980;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_431.htm
b20714087,http://www.catalog.slsa.sa.gov.au/record=b2071408,http://www.catalog.slsa.sa.gov.au/xrecord=b2071408,,Thomas Malcolm Retallack,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 1975 Private Thomas Malcolm Retallack, 50th Infantry Battalion, 1st Australian Imperial Force.","Retallack, Thomas Malcolm, 1890-1917;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_432.htm
b20714099,http://www.catalog.slsa.sa.gov.au/record=b2071409,http://www.catalog.slsa.sa.gov.au/xrecord=b2071409,,Thomas Malcolm Retallack,1916,"1 photograph : negative, glass (half plate), black and white   6.5"" x 4.75"";RESERVE 4;still image sti rdacontent;other x rdamedia;other nz rdacarrier","Half plate glass negative of service number 1975 Private Thomas Malcolm Retallack, 50th Infantry Battalion, 1st Australian Imperial Force.","Retallack, Thomas Malcolm, 1890-1917;Military uniforms.;Soldiers -- South Australia.;World War, 1914-1918 -- South Australia.",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_433.htm
b20714105,http://www.catalog.slsa.sa.gov.au/record=b2071410,http://www.catalog.slsa.sa.gov.au/xrecord=b2071410,,Trooper Tobin,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",Trooper Tobin.,"Tobin, Trooper;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_434.htm
b20714129,http://www.catalog.slsa.sa.gov.au/record=b2071412,http://www.catalog.slsa.sa.gov.au/xrecord=b2071412,,Hector McEacharn Cochrane,1915,"1 photograph : negative, glass (half plate), black and white   6.5"" x 4.75"";RESERVE 4;still image sti rdacontent;other x rdamedia;other nz rdacarrier","Half plate glass negative of Hector McEacharn Cochrane of Langhorne Creek, South Australia.","Cochrane, Hector McEacharn, 1894-1941;World War, 1914-1918 -- South Australia.;Military uniforms.;Soldiers -- South Australia.",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_436.htm
b20714130,http://www.catalog.slsa.sa.gov.au/record=b2071413,http://www.catalog.slsa.sa.gov.au/xrecord=b2071413,,Leslie George Collins,1915,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 535, Corporal Leslie George Collins, 27th Infantry Battalion, 1st Australian Imperial Force.","Collins, Leslie George;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_437.htm
b20714142,http://www.catalog.slsa.sa.gov.au/record=b2071414,http://www.catalog.slsa.sa.gov.au/xrecord=b2071414,,Albert Robert Ernest Holding,1915,"Negative, glass (half plate)  6.5 cm x 4.75"";RESERVE 4","No. 1109 Private Albert Robert Ernest Holding, born Avoca, Victoria, 1873, enlisted at Oaklands, South Australia, on 20 January 1915. 9th Light Horse. Served Gallipoli and Middle East. Returned to Australia 1917 and died South Australia on 31 July 1961.","Holding, Robert Ernest Holding, 1873-1961;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_438.htm
b20714154,http://www.catalog.slsa.sa.gov.au/record=b2071415,http://www.catalog.slsa.sa.gov.au/xrecord=b2071415,,J. Hogan,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",J. Hogan.,"Hogan, John Francis, 1882-1917;Military uniforms;World War, 1914-1918 -- South Australia;Soldiers -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_439.htm
b20714166,http://www.catalog.slsa.sa.gov.au/record=b2071416,http://www.catalog.slsa.sa.gov.au/xrecord=b2071416,,Private Laurence Herbert Hoffman,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 2342 Private Laurence Herbert Hoffman, 12th Battalion, 7th Reinforcements, 1st Australian Imperial Force.","Hoffman, Laurence Herbert;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_440.htm
b20714178,http://www.catalog.slsa.sa.gov.au/record=b2071417,http://www.catalog.slsa.sa.gov.au/xrecord=b2071417,,J. Harvey,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",J. Harvey.,"Harvey, J.;Military uniforms;World War, 1914-1918 -- South Australia;Soldiers -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_441.htm
b20714191,http://www.catalog.slsa.sa.gov.au/record=b2071419,http://www.catalog.slsa.sa.gov.au/xrecord=b2071419,,Henry Horseman,1916,"Negative, glass (half plate)  6.5 ""x 4.75"";RESERVE 4","Service number 1046 Private Henry Alfred Horsman, 16th Infantry Battalion, 1st Australian Imperial Force.","Horseman, Henry Alfred;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_443.htm
b20714208,http://www.catalog.slsa.sa.gov.au/record=b2071420,http://www.catalog.slsa.sa.gov.au/xrecord=b2071420,,W. Heath,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",W. Heath.,"Heath, W.;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_444.htm
b2071421x,http://www.catalog.slsa.sa.gov.au/record=b2071421,http://www.catalog.slsa.sa.gov.au/xrecord=b2071421,,Harry Alfred Milton Howard,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 2612 Private Harry Alfred Milton Howard, 5th Pioneer Battalion, 1st Australian Imperial Force.","Howard, Harry Alfred Milton;Military uniforms;World War, 1914-1918 -- South Australia;Soldiers -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_445.htm
b20714221,http://www.catalog.slsa.sa.gov.au/record=b2071422,http://www.catalog.slsa.sa.gov.au/xrecord=b2071422,,T. P. R. Hudson,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",T.P.R. Hudson.,"Hudson, T. P. R.;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_446.htm
b20714233,http://www.catalog.slsa.sa.gov.au/record=b2071423,http://www.catalog.slsa.sa.gov.au/xrecord=b2071423,,Cyril Hall,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","No.859 Sapper Cyril Roy Hall, born Adelaide, South Australia, 26 February 1893. Enlisted in the 9th Light Horse Regiment at Oaklands, South Australia, on 27 November 1914. Returned to Australia 'medically unfit'. When charged with having 'no means of support' in 1942 Hall was described as having 10 previous convictions. Hall died at the Repatriation Hospital, Springbank, on 15 July 1948.","Hall, Cyril Roy, 1893-1948;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_447.htm
b20714245,http://www.catalog.slsa.sa.gov.au/record=b2071424,http://www.catalog.slsa.sa.gov.au/xrecord=b2071424,,Private Stoerkel,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","No.1212 Lance Corporal Charles William Stoerkel, Born Edmonton, England, 1895. Enlisted 16th Battalion at Morphettville, South Australia, 11 September 1914. Served Gallipoli. Transferred to 48th Battalion 3 March 1916. Wounded in action, France, 13 August 1916. Promoted 2nd Lieutenant 16 September 1916. Mentioned in Sir Douglas Haig's despatch for distinguished and gallant services and devotion to duty in the field 13 November 1916. Promoted Lieutenant 11 February 1917. Wounded in action 8 June 1917. Awarded Military Cross 1917. Wounded in action 8 August 1918. Awarded Bar to Military Cross 1918. Returned Adelaide, South Australia, 1919. Changed name to Charles William Tanner in 1920.","Stoerkel, Charles William, 1895-1985;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_448.htm
b20714257,http://www.catalog.slsa.sa.gov.au/record=b2071425,http://www.catalog.slsa.sa.gov.au/xrecord=b2071425,,Thomas Stott,1915,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Second-Lieutenant Thomas Stott, 3rd Light Horse Regiment, 1st Australian Imperial Force.","Stott, Thomas, 1875-1933;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_449.htm
b20714269,http://www.catalog.slsa.sa.gov.au/record=b2071426,http://www.catalog.slsa.sa.gov.au/xrecord=b2071426,,Private Shaw,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",Private Shaw.,"Shaw, Private;World War, 1914-1918 -- South Australia;Military uniforms;Soldiers -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_450.htm
b20714270,http://www.catalog.slsa.sa.gov.au/record=b2071427,http://www.catalog.slsa.sa.gov.au/xrecord=b2071427,,Benjamin Leslie Shirlock,1915,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 1114 Trooper Benjamin Leslie Shirlock, 3rd Light Horse Regiment, 1st Australian Imperial Force.","Shirlock, Benjamin Leslie;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_451.htm
b20714282,http://www.catalog.slsa.sa.gov.au/record=b2071428,http://www.catalog.slsa.sa.gov.au/xrecord=b2071428,,Lieutenant Thomas Stott,1915,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Second-Lieutenant Thomas Stott, 3rd Light Horse Regiment, 1st Australian Imperial Force.","Stott, Thomas, 1875-1933;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_452.htm
b20714294,http://www.catalog.slsa.sa.gov.au/record=b2071429,http://www.catalog.slsa.sa.gov.au/xrecord=b2071429,,Soldier Campbell,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",Soldier Campbell.,"Campbell, Soldier;Military uniforms;World War, 1914-1918 -- South Australia;Soldiers -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_453.htm
b20714300,http://www.catalog.slsa.sa.gov.au/record=b2071430,http://www.catalog.slsa.sa.gov.au/xrecord=b2071430,,Wilfrid Reginald Woodward,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 2758 Private Wilfrid Reginald Woodward, 50th Battalion, 1st Australian Imperial Force.","Woodward, Wilfrid Reginald, 1896-1917;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_454.htm
b20714312,http://www.catalog.slsa.sa.gov.au/record=b2071431,http://www.catalog.slsa.sa.gov.au/xrecord=b2071431,,Thomas Featherstone,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","No.2667 Private Thomas Alfred Featherstone, 50th Battalion.","Featherstone, Thomas Alfred, 1897-1923;Military uniforms;World War, 1914-1918 -- South Australia;Soldiers -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_455.htm
b20714324,http://www.catalog.slsa.sa.gov.au/record=b2071432,http://www.catalog.slsa.sa.gov.au/xrecord=b2071432,,Robert Colligan and Carl Simunsen,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Seated left No. 3266 Robert George Colligan, born East Adelaide, South Australia, 10 August 1886. Enlisted 21 July 1915. Killed in action, France, 3 August 1916. Seated right No 3470 Private Carl Simunsen, born Adelaide, South Australia, 1895. Enlisted 26 July 1915. Served France. Returned to Australia 1919. Soldier standing is unidentified.","Colligan, Robert George, 1886-1916;Simunsen, Carl, 1895-1955;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_456.htm
b20714336,http://www.catalog.slsa.sa.gov.au/record=b2071433,http://www.catalog.slsa.sa.gov.au/xrecord=b2071433,,Clarence Hibbard Scott in AIF uniform,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","C. H. Scott. Service No: 2718, Private 32nd Battalion. Born 26 February 1893 at Walkerville, SA. Son of John James Scott and Mary Emma (nee Channing) of 5 Cannon Street, Adelaide, SA. Husband of Lillian Scott (nee Katwick) of Gretton House, London. Occupation prior to enlistment: Stockman. Enlisted 3 December 1915 aged 23 years. Embarked 25 March 1916. Served in France. Returned to Australia 8 February 1920 per 'Pt. Napier'. Discharged 12 April 1920. Died 1970. (information supplied by a researcher).","Scott, Clarence Hibbard, 1893-1970;Military uniforms;World War, 1914-1918 -- South Australia;Soldiers -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_457.htm
b20714348,http://www.catalog.slsa.sa.gov.au/record=b2071434,http://www.catalog.slsa.sa.gov.au/xrecord=b2071434,,David Ernest Stokes,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 5729 David Ernest Stokes, 1st Australian Imperial Force.","Stokes, David Ernest, 1882-1946;World War, 1914-1918 -- South Australia;Soldiers -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_458.htm
b2071435x,http://www.catalog.slsa.sa.gov.au/record=b2071435,http://www.catalog.slsa.sa.gov.au/xrecord=b2071435,,Mounted soldiers,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",Mounted soldiers including soldier Simcock.,"Simcock, Soldier;Soldiers -- South Australia;Military uniforms;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_459.htm
b20714361,http://www.catalog.slsa.sa.gov.au/record=b2071436,http://www.catalog.slsa.sa.gov.au/xrecord=b2071436,,Corporal Henry Rowland Scott,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 12669 Corporal Henry Rowland Scott, 11th Field Ambulance, 1st Australian Imperial Force.","Scott, Henry Rowland, 1871-1940;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_460.htm
b20714373,http://www.catalog.slsa.sa.gov.au/record=b2071437,http://www.catalog.slsa.sa.gov.au/xrecord=b2071437,,Fred McKenzie,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 3737, Private Fred McKenzie, 1st Australian Imperial Force.","McKenzie, Fred;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_461.htm
b20714385,http://www.catalog.slsa.sa.gov.au/record=b2071438,http://www.catalog.slsa.sa.gov.au/xrecord=b2071438,,William Moore,1916,"Negative, glass (half plate)  6.5 cm x 4.75"";RESERVE 4","Service number 2740, William Thomas Gordon Moore. 10th Battalion, 1st Australian Imperial Force. Wounded in action in France 23 August 1916. Returned to Australia 1917.","Moore, William Thomas Gordon;Military uniforms;World War, 1914-1918 -- South Australia;Soldiers -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_462.htm
b20714397,http://www.catalog.slsa.sa.gov.au/record=b2071439,http://www.catalog.slsa.sa.gov.au/xrecord=b2071439,,Soldier McMurray,1916,"Negative, glass (half print)  6.5"" x 4.75"";RESERVE 4","Soldier Edward James McMurray, born in Peterborough 24 December 1893. His service numbers were 1326 and 1326A, and he enlisted on 1 December 1914. He died at Gallipoli on 22 May 1915, and was buried at the Lone Pine Memorial.","McMurray, Soldier;Military uniforms;World War, 1914-1918 -- South Australia;Soldiers -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_463.htm
b20714403,http://www.catalog.slsa.sa.gov.au/record=b2071440,http://www.catalog.slsa.sa.gov.au/xrecord=b2071440,,James Roy Michael,1916,"Negative, glass (half print)  6.5"" x 4.75"";RESERVE 4","Service number 1954 Private James Roy Michael, 50th Battalion, 1st Australian Imperial Force.","Michael, James Roy;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_464.htm
b20714415,http://www.catalog.slsa.sa.gov.au/record=b2071441,http://www.catalog.slsa.sa.gov.au/xrecord=b2071441,,John Alexander MacPherson,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 4831 Corporal John Alexander McPherson, 1st Australian Imperial Force.","MacPherson, John Alexander;Military uniforms;World War, 1914-1918 -- South Australia;Soldiers -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_465.htm
b20714427,http://www.catalog.slsa.sa.gov.au/record=b2071442,http://www.catalog.slsa.sa.gov.au/xrecord=b2071442,,Joseph McEvoy,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 25853, Private Joseph McEvoy, 32nd Battalion, 1st Australian Imperial Force.","McEvoy, Joseph;World War, 1914-1918 -- South Australia;Soldiers -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_466.htm
b20714439,http://www.catalog.slsa.sa.gov.au/record=b2071443,http://www.catalog.slsa.sa.gov.au/xrecord=b2071443,,Private McMahon,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",Private McMahon.,"McMahon, Private;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_467.htm
b20714440,http://www.catalog.slsa.sa.gov.au/record=b2071444,http://www.catalog.slsa.sa.gov.au/xrecord=b2071444,,John Horace Midwinter,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 26100, Gunner John Horace Midwinter, 15th Field Ambulance, 1st Australian Imperial Force.","Midwinter, John Horace;World War, 1914-1918 -- South Australia;Soldiers -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_468.htm
b20714452,http://www.catalog.slsa.sa.gov.au/record=b2071445,http://www.catalog.slsa.sa.gov.au/xrecord=b2071445,,James Mylrea,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","No.2955 Private James Mylrea, 32nd Battalion, 1st Australian Imperial Force.","Mylrea, James;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_469.htm
b20714464,http://www.catalog.slsa.sa.gov.au/record=b2071446,http://www.catalog.slsa.sa.gov.au/xrecord=b2071446,,Captain Maundee,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",Captain Maundee.,"Maundee, Captain;Soldiers -- South Australia;Military uniforms;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_470.htm
b20714476,http://www.catalog.slsa.sa.gov.au/record=b2071447,http://www.catalog.slsa.sa.gov.au/xrecord=b2071447,,William Hughes,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 590 Private William Hughes, 1st Australian Imperial Force.","Hughes, William;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_471.htm
b20714488,http://www.catalog.slsa.sa.gov.au/record=b2071448,http://www.catalog.slsa.sa.gov.au/xrecord=b2071448,,Percival Holland,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 2175 Percival Thomas Holland, 1st Australian Imperial Force. He was the son of Mathew Holland and Louisa Heyer. Born 25 October 1894 in Scott Creek SA. Died in 1973, registered in St Leonards district NSW. He enlisted in the AIF on 12 February 1915.  Service Number: 2175, rank: Private, 10 Infantry Battalion. Embarked on 23 June 1915 from Adelaide on board the HMAT Borda A30. Moved to Sydney after the war.","Holland, Percival Thomas;World War, 1914-1918 -- South Australia;Soldiers -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_472.htm
b2071449x,http://www.catalog.slsa.sa.gov.au/record=b2071449,http://www.catalog.slsa.sa.gov.au/xrecord=b2071449,,William James Munday,1915,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","No. 3226 Corporal William James Munday, born Norwood, South Australia. Enlisted 27th Battalion, AIF, 10 August 1915. Embarked from Australia 12 January 1916.","Munday, William James, 1892-;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_473.htm
b20714506,http://www.catalog.slsa.sa.gov.au/record=b2071450,http://www.catalog.slsa.sa.gov.au/xrecord=b2071450,,George Richard Roe,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 4358 George Richard Roe, 1st Australian Imperial Force.","Roe, George Richard;World War, 1914-1918 -- South Australia;Soldiers -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_474.htm
b20714518,http://www.catalog.slsa.sa.gov.au/record=b2071451,http://www.catalog.slsa.sa.gov.au/xrecord=b2071451,,Cosma Lake Randell,1915,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 730 Cosma Lake Randell, 1st Australian Imperial Force. Plumber from Gumeracha, SA. He served with the 3rd Field Company engineers and was transferred to the Royal Flying Corps.","Randell, Cosma Lake, 1892-1918;Military uniforms;Soldiers -- South Australia;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_475.htm
b2071452x,http://www.catalog.slsa.sa.gov.au/record=b2071452,http://www.catalog.slsa.sa.gov.au/xrecord=b2071452,,Corporal Moon,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Corporal Moon, 5th Reinforcement, 10th Battalion.","Moon, Corporal;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_476.htm
b20714531,http://www.catalog.slsa.sa.gov.au/record=b2071453,http://www.catalog.slsa.sa.gov.au/xrecord=b2071453,,John Joseph Teague,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",John Joseph Teague.,"Teague, John Joseph;Military uniforms;World War, 1914-1918 -- South Australia;Soldiers -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_477.htm
b20714543,http://www.catalog.slsa.sa.gov.au/record=b2071454,http://www.catalog.slsa.sa.gov.au/xrecord=b2071454,,John Joseph Teague,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","John Joseph Teague, Private, 1830 16th Infantry Battalion.","Teague, John Joseph;Soldiers -- South Australia;World War, 1914-1918 -- South Australia;Military uniforms",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_478.htm
b20714555,http://www.catalog.slsa.sa.gov.au/record=b2071455,http://www.catalog.slsa.sa.gov.au/xrecord=b2071455,,William Thomas Patrick Turner,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4","Service number 8987 Driver William Thomas Patrick Turner, 1st Australian Imperial Force.","Turner, William Thomas Patrick;World War, 1914-1918 -- South Australia;Military uniforms;Soldiers -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_479.htm
b20714567,http://www.catalog.slsa.sa.gov.au/record=b2071456,http://www.catalog.slsa.sa.gov.au/xrecord=b2071456,,L. H. Taylor,1916,"Negative, glass (half plate)  6.5"" x 4.75"";RESERVE 4",L. H. Taylor.,"Taylor, L. H.;Soldiers -- South Australia;Military uniforms;World War, 1914-1918 -- South Australia",Album Collection;Chamberlain Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/46250/B46130_480.htm
